bucket,n_obs,reversal_rate,baseline,lift,ci_lo,ci_hi,arm
"[0,10)",30147,0.49115998275118583,0.49647954326479055,-0.005319560513604715,-0.010000600424569095,-0.0009736708409781594,suppress
"[10,20)",1456,0.5274725274725275,0.48686718802342605,0.04060533944910144,-0.0012990746397704724,0.08804391583340257,suppress
"[20,30)",2525,0.5318811881188119,0.49641221231564286,0.035468975803169045,-0.005398267897962331,0.07805337286572511,suppress
"[30,40)",410,0.47560975609756095,0.48266016108938814,-0.007050404991827186,-0.07122576607418707,0.07228474394221159,suppress
"[40,50)",140,0.5214285714285715,0.48521065122979845,0.03621792019877301,-0.06076674125668512,0.1547083707668616,suppress
"[50,60)",97,0.5463917525773195,0.482989516921734,0.06340223565558556,-0.12504300242385852,0.24390074538457307,suppress
"[60,100]",39,0.5641025641025641,0.47798992248779765,0.08611264161476645,-0.100863847861918,0.3526419453985375,suppress
"[0,10)",28965,0.4881753840842396,0.49722374882482817,-0.009048364740588566,-0.014075031484923504,-0.004232521190479423,off
"[10,20)",1762,0.5261066969353008,0.4854959743198765,0.040610722615424255,0.0032818994579146697,0.08401555431115051,off
"[20,30)",3117,0.5393006095604748,0.493314795796889,0.04598581376358574,0.010481029402924584,0.08333855807530903,off
"[30,40)",550,0.5036363636363637,0.481915164593483,0.021721199042880668,-0.03185832713148064,0.08768636069587613,off
"[40,50)",200,0.535,0.48117358290596424,0.053826417094035794,-0.022310690471868025,0.15065746164009777,off
"[50,60)",163,0.5828220858895705,0.47680637191852016,0.10601571397105036,-0.02044710649690605,0.23051926820950205,off
"[60,100]",57,0.5964912280701754,0.4701841106666105,0.12630711740356493,-0.022264401974591407,0.33789880022556923,off
