study,pair,date,side,outcome,tie,k
score suppress,EURUSD,2024-08-14,top,reversal,False,2
score suppress,GBPUSD,2021-02-24,top,reversal,False,2
score suppress,GBPUSD,2021-12-08,bottom,reversal,False,6
score suppress,GBPUSD,2022-06-14,bottom,continuation,False,1
score suppress,GBPUSD,2024-09-24,top,reversal,False,6
score suppress,USDJPY,2022-06-07,top,continuation,False,1
score suppress,USDJPY,2024-04-16,top,reversal,False,3
score suppress,USDCAD,2021-07-19,top,reversal,False,2
score suppress,NZDUSD,2022-06-14,bottom,reversal,False,3
score suppress,AUDUSD,2026-01-26,top,continuation,False,2
score suppress,USDCHF,2024-07-25,bottom,reversal,False,1
score suppress,EURJPY,2021-04-29,top,reversal,False,2
score suppress,GBPJPY,2024-02-23,top,reversal,False,4
score suppress,GBPJPY,2024-03-21,top,reversal,False,1
score suppress,GBPJPY,2024-06-24,top,continuation,False,4
score suppress,GBPJPY,2024-07-01,top,continuation,False,2
score suppress,CADJPY,2025-03-04,bottom,continuation,False,5
score suppress,CADJPY,2025-12-19,top,reversal,False,13
score suppress,AUDJPY,2025-04-04,bottom,continuation,False,1
score suppress,AUDJPY,2026-01-22,top,continuation,False,1
score suppress,AUDJPY,2026-03-11,top,reversal,False,2
score suppress,NZDJPY,2024-06-21,top,continuation,False,6
score suppress,NZDJPY,2025-03-04,bottom,reversal,False,1
score suppress,NZDJPY,2025-04-07,bottom,reversal,False,1
score suppress,NZDJPY,2025-04-09,bottom,reversal,False,1
score off,EURUSD,2024-08-14,top,reversal,False,2
score off,EURUSD,2025-04-11,top,continuation,False,6
score off,GBPUSD,2021-02-24,top,reversal,False,2
score off,GBPUSD,2021-12-08,bottom,reversal,False,6
score off,GBPUSD,2022-06-14,bottom,continuation,False,1
score off,GBPUSD,2024-09-24,top,reversal,False,6
score off,USDJPY,2021-11-24,top,reversal,False,2
score off,USDJPY,2022-04-26,top,continuation,False,2
score off,USDJPY,2022-06-07,top,continuation,False,1
score off,USDJPY,2024-04-16,top,reversal,False,3
score off,USDCAD,2021-07-19,top,reversal,False,2
score off,NZDUSD,2022-06-14,bottom,reversal,False,3
score off,AUDUSD,2024-12-11,bottom,reversal,False,1
score off,AUDUSD,2026-01-26,top,continuation,False,2
score off,USDCHF,2022-06-15,top,reversal,False,1
score off,USDCHF,2024-07-25,bottom,reversal,False,1
score off,EURJPY,2021-04-29,top,reversal,False,2
score off,EURJPY,2022-04-19,top,continuation,False,2
score off,GBPJPY,2023-07-04,top,reversal,False,3
score off,GBPJPY,2024-02-23,top,reversal,False,4
score off,GBPJPY,2024-03-21,top,reversal,False,1
score off,GBPJPY,2024-06-24,top,continuation,False,4
score off,GBPJPY,2024-07-01,top,continuation,False,2
score off,CADJPY,2025-03-04,bottom,continuation,False,5
score off,CADJPY,2025-12-19,top,reversal,False,13
score off,AUDJPY,2025-04-04,bottom,continuation,False,1
score off,AUDJPY,2026-01-22,top,continuation,False,1
score off,AUDJPY,2026-03-11,top,reversal,False,2
score off,NZDJPY,2024-06-21,top,continuation,False,6
score off,NZDJPY,2025-03-04,bottom,reversal,False,1
score off,NZDJPY,2025-04-07,bottom,reversal,False,1
score off,NZDJPY,2025-04-09,bottom,reversal,False,1
