bucket,n_obs,reversal_rate,baseline,lift,ci_lo,ci_hi,arm
"[0,10)",30300,0.4916831683168317,0.4957029496830092,-0.004019781366177533,-0.008263840103785865,0.00034768206658035997,suppress
"[10,20)",1417,0.5257586450247,0.48743232039520146,0.03832632462949859,-0.009174750937757053,0.08814950914575082,suppress
"[20,30)",2418,0.5252274607113316,0.494656277126224,0.03057118358510763,-0.006921532925177194,0.06750664631432078,suppress
"[30,40)",398,0.47738693467336685,0.48359910590996874,-0.006212171236601893,-0.07973057581635624,0.07945082616449284,suppress
"[40,50)",130,0.43846153846153846,0.4870541697560343,-0.04859263129449587,-0.1454123837928148,0.07271110341561593,suppress
"[50,60)",78,0.5,0.4791321974638258,0.020867802536174207,-0.13469649985703333,0.19428296910759066,suppress
"[60,100]",27,0.5185185185185185,0.49142040336979237,0.02709811514872612,-0.19074375066106553,0.3765374159756569,suppress
"[0,10)",28999,0.4889823787027139,0.49632129400310987,-0.007338915300395987,-0.012499618892935428,-0.002202957757902804,off
"[10,20)",1697,0.5321154979375369,0.48710181677429465,0.045013681163242225,0.0034471186414189482,0.09119882400065349,off
"[20,30)",3093,0.5260265114775299,0.4921717356258077,0.033854775851722196,-0.0026492457146640447,0.07012121292394967,off
"[30,40)",559,0.4991055456171735,0.4812404411515611,0.017865104465612403,-0.042508555180180777,0.08827865025301732,off
"[40,50)",210,0.5142857142857142,0.48456576212589014,0.029719952159824092,-0.042221256976978025,0.11113346722677833,off
"[50,60)",165,0.5515151515151515,0.4763606445563422,0.07515450695880932,-0.021457951288300265,0.18352911956241635,off
"[60,100]",45,0.5555555555555556,0.4868469076724755,0.06870864788308007,-0.11738616126950385,0.3445363864295197,off
