study,pair,date,side,outcome,tie,k
score suppress,EURUSD,2020-07-21 13:00:00,top,continuation,False,5
score suppress,EURUSD,2020-08-18 05:00:00,top,continuation,False,1
score suppress,EURUSD,2020-09-01 01:00:00,top,reversal,False,3
score suppress,EURUSD,2022-07-05 05:00:00,bottom,continuation,False,2
score suppress,EURUSD,2023-03-22 17:00:00,top,continuation,False,2
score suppress,EURUSD,2025-06-11 21:00:00,top,continuation,False,3
score suppress,EURUSD,2025-12-10 18:00:00,top,continuation,False,4
score suppress,EURUSD,2026-08-28 13:00:00,bottom,reversal,False,4
score suppress,GBPUSD,2021-02-15 02:00:00,top,continuation,False,5
score suppress,GBPUSD,2021-02-19 06:00:00,top,continuation,False,1
score suppress,GBPUSD,2021-12-29 14:00:00,top,reversal,False,4
score suppress,GBPUSD,2022-06-10 09:00:00,bottom,continuation,False,1
score suppress,GBPUSD,2022-07-01 09:00:00,bottom,reversal,False,1
score suppress,GBPUSD,2022-07-05 09:00:00,bottom,continuation,False,1
score suppress,GBPUSD,2022-08-18 13:00:00,bottom,continuation,False,4
score suppress,GBPUSD,2026-07-15 13:00:00,top,reversal,False,6
score suppress,USDJPY,2020-07-24 09:00:00,bottom,continuation,False,1
score suppress,USDJPY,2020-07-27 01:00:00,bottom,continuation,False,2
score suppress,USDJPY,2020-12-16 06:00:00,bottom,reversal,False,2
score suppress,USDJPY,2021-01-04 06:00:00,bottom,reversal,False,1
score suppress,USDJPY,2021-01-05 14:00:00,bottom,reversal,False,3
score suppress,USDJPY,2021-11-16 18:00:00,top,reversal,False,4
score suppress,USDJPY,2021-11-23 02:00:00,top,reversal,False,1
score suppress,USDJPY,2022-01-04 02:00:00,top,continuation,False,2
score suppress,USDJPY,2022-04-28 05:00:00,top,reversal,False,1
score suppress,USDJPY,2024-11-27 06:00:00,bottom,continuation,False,2
score suppress,USDJPY,2025-05-12 05:00:00,top,continuation,False,1
score suppress,USDCAD,2021-03-17 17:00:00,bottom,continuation,False,3
score suppress,USDCAD,2025-02-02 22:00:00,top,reversal,False,2
score suppress,USDCAD,2025-10-09 13:00:00,top,reversal,False,5
score suppress,NZDUSD,2020-12-30 02:00:00,top,continuation,False,3
score suppress,NZDUSD,2020-12-30 22:00:00,top,reversal,False,4
score suppress,NZDUSD,2021-01-05 14:00:00,top,continuation,False,4
score suppress,NZDUSD,2021-02-21 22:00:00,top,reversal,False,2
score suppress,NZDUSD,2021-06-16 17:00:00,bottom,reversal,False,1
score suppress,NZDUSD,2022-04-13 09:00:00,bottom,reversal,False,3
score suppress,NZDUSD,2022-06-13 05:00:00,bottom,continuation,False,1
score suppress,NZDUSD,2023-04-05 01:00:00,top,reversal,False,1
score suppress,NZDUSD,2023-06-14 13:00:00,top,reversal,False,1
score suppress,NZDUSD,2025-02-02 22:00:00,bottom,reversal,False,3
score suppress,NZDUSD,2025-07-22 13:00:00,top,continuation,False,4
score suppress,AUDUSD,2021-02-19 06:00:00,top,continuation,False,1
score suppress,AUDUSD,2021-04-01 01:00:00,bottom,reversal,False,1
score suppress,AUDUSD,2022-01-24 10:00:00,bottom,reversal,False,2
score suppress,AUDUSD,2022-01-27 02:00:00,bottom,continuation,False,3
score suppress,AUDUSD,2022-10-13 09:00:00,bottom,reversal,False,1
score suppress,AUDUSD,2025-01-10 10:00:00,bottom,continuation,False,4
score suppress,AUDUSD,2025-02-02 22:00:00,bottom,reversal,False,2
score suppress,AUDUSD,2025-10-10 13:00:00,bottom,reversal,False,2
score suppress,USDCHF,2020-07-06 09:00:00,bottom,reversal,False,1
score suppress,USDCHF,2020-07-08 13:00:00,bottom,reversal,False,6
score suppress,USDCHF,2020-07-21 13:00:00,bottom,continuation,False,5
score suppress,USDCHF,2020-08-18 09:00:00,bottom,continuation,False,1
score suppress,USDCHF,2020-12-02 10:00:00,bottom,continuation,False,4
score suppress,USDCHF,2021-02-23 14:00:00,top,continuation,False,2
score suppress,USDCHF,2022-04-22 13:00:00,top,reversal,False,5
score suppress,USDCHF,2022-05-24 13:00:00,bottom,reversal,False,5
score suppress,USDCHF,2022-06-06 13:00:00,top,continuation,False,4
score suppress,USDCHF,2022-06-10 09:00:00,top,continuation,False,1
score suppress,USDCHF,2022-06-13 09:00:00,top,continuation,False,1
score suppress,USDCHF,2023-06-15 13:00:00,bottom,reversal,False,6
score suppress,USDCHF,2024-12-18 18:00:00,top,reversal,False,3
score suppress,USDCHF,2025-01-27 10:00:00,bottom,reversal,False,1
score suppress,EURJPY,2021-07-19 05:00:00,bottom,continuation,False,7
score suppress,EURJPY,2022-02-03 10:00:00,top,continuation,False,1
score suppress,EURJPY,2023-10-23 13:00:00,top,reversal,False,4
score suppress,EURJPY,2025-01-13 06:00:00,bottom,reversal,False,2
score suppress,EURJPY,2025-01-16 18:00:00,bottom,reversal,False,3
score suppress,EURJPY,2026-07-29 17:00:00,top,reversal,False,4
score suppress,GBPJPY,2022-02-10 06:00:00,top,continuation,False,2
score suppress,GBPJPY,2024-02-22 06:00:00,top,reversal,False,2
score suppress,GBPJPY,2024-03-19 13:00:00,top,continuation,False,3
score suppress,GBPJPY,2024-06-24 05:00:00,top,reversal,False,1
score suppress,GBPJPY,2024-06-27 13:00:00,top,reversal,False,6
score suppress,GBPJPY,2024-07-01 01:00:00,top,continuation,False,2
score suppress,GBPJPY,2024-07-03 05:00:00,top,continuation,False,1
score suppress,GBPJPY,2024-07-10 13:00:00,top,reversal,False,5
score suppress,CADJPY,2022-04-15 05:00:00,top,reversal,False,5
score suppress,CADJPY,2022-07-19 21:00:00,top,reversal,False,3
score suppress,CADJPY,2023-06-13 13:00:00,top,reversal,False,6
score suppress,CADJPY,2024-09-11 01:00:00,bottom,reversal,False,2
score suppress,CADJPY,2024-11-25 22:00:00,bottom,continuation,False,7
score suppress,CADJPY,2025-01-16 14:00:00,bottom,reversal,False,6
score suppress,CADJPY,2025-02-19 22:00:00,bottom,continuation,False,2
score suppress,CADJPY,2025-02-20 14:00:00,bottom,reversal,False,2
score suppress,CADJPY,2026-03-06 14:00:00,top,continuation,False,2
score suppress,CADJPY,2026-03-30 09:00:00,bottom,reversal,False,3
score suppress,CADJPY,2026-07-30 13:00:00,bottom,continuation,False,1
score suppress,AUDJPY,2024-07-01 05:00:00,top,reversal,False,5
score suppress,AUDJPY,2025-04-04 01:00:00,bottom,continuation,False,2
score suppress,AUDJPY,2025-04-07 01:00:00,bottom,reversal,False,2
score suppress,AUDJPY,2025-12-05 14:00:00,top,continuation,False,9
score suppress,NZDJPY,2024-06-21 13:00:00,top,continuation,False,3
score suppress,NZDJPY,2024-06-28 13:00:00,top,continuation,False,3
score suppress,NZDJPY,2024-07-03 13:00:00,top,reversal,False,8
score suppress,NZDJPY,2024-12-02 14:00:00,bottom,reversal,False,4
score suppress,NZDJPY,2024-12-18 18:00:00,bottom,reversal,False,2
score suppress,NZDJPY,2025-01-13 06:00:00,bottom,reversal,False,2
score suppress,NZDJPY,2025-02-02 22:00:00,bottom,continuation,True,4
score suppress,NZDJPY,2025-04-04 01:00:00,bottom,continuation,False,2
score suppress,NZDJPY,2025-04-07 01:00:00,bottom,reversal,False,2
score suppress,NZDJPY,2025-05-21 21:00:00,bottom,continuation,False,2
score off,EURUSD,2020-05-28 13:00:00,top,continuation,False,4
score off,EURUSD,2020-06-04 13:00:00,top,continuation,False,4
score off,EURUSD,2020-07-21 13:00:00,top,continuation,False,5
score off,EURUSD,2020-07-26 21:00:00,top,continuation,False,3
score off,EURUSD,2020-07-30 13:00:00,top,continuation,False,1
score off,EURUSD,2020-08-18 05:00:00,top,continuation,False,1
score off,EURUSD,2020-09-01 01:00:00,top,reversal,False,3
score off,EURUSD,2021-09-02 17:00:00,top,continuation,False,4
score off,EURUSD,2022-07-05 05:00:00,bottom,continuation,False,2
score off,EURUSD,2023-03-22 17:00:00,top,continuation,False,2
score off,EURUSD,2023-05-18 09:00:00,bottom,continuation,False,1
score off,EURUSD,2025-06-11 21:00:00,top,continuation,False,3
score off,EURUSD,2025-12-10 18:00:00,top,continuation,False,4
score off,EURUSD,2026-04-13 17:00:00,top,continuation,False,3
score off,EURUSD,2026-04-17 09:00:00,top,reversal,False,1
score off,EURUSD,2026-08-28 13:00:00,bottom,reversal,False,4
score off,GBPUSD,2021-02-15 02:00:00,top,continuation,False,5
score off,GBPUSD,2021-02-19 06:00:00,top,continuation,False,1
score off,GBPUSD,2021-02-23 22:00:00,top,reversal,False,3
score off,GBPUSD,2021-12-29 14:00:00,top,reversal,False,4
score off,GBPUSD,2022-06-10 09:00:00,bottom,continuation,False,1
score off,GBPUSD,2022-06-13 05:00:00,bottom,continuation,False,1
score off,GBPUSD,2022-06-15 13:00:00,bottom,reversal,False,1
score off,GBPUSD,2022-07-01 09:00:00,bottom,reversal,False,1
score off,GBPUSD,2022-07-05 09:00:00,bottom,continuation,False,1
score off,GBPUSD,2022-07-06 09:00:00,bottom,reversal,False,4
score off,GBPUSD,2022-08-18 13:00:00,bottom,continuation,False,4
score off,GBPUSD,2024-03-07 14:00:00,top,continuation,False,2
score off,GBPUSD,2024-03-08 10:00:00,top,reversal,False,5
score off,GBPUSD,2024-09-23 17:00:00,top,continuation,False,4
score off,GBPUSD,2026-07-15 13:00:00,top,reversal,False,6
score off,USDJPY,2020-06-05 09:00:00,top,reversal,False,6
score off,USDJPY,2020-07-24 09:00:00,bottom,continuation,False,1
score off,USDJPY,2020-07-27 01:00:00,bottom,continuation,False,2
score off,USDJPY,2020-07-28 09:00:00,bottom,continuation,False,8
score off,USDJPY,2020-07-30 01:00:00,bottom,continuation,False,4
score off,USDJPY,2020-09-20 21:00:00,bottom,continuation,False,2
score off,USDJPY,2020-12-16 06:00:00,bottom,reversal,False,2
score off,USDJPY,2021-01-04 06:00:00,bottom,reversal,False,1
score off,USDJPY,2021-01-05 14:00:00,bottom,reversal,False,3
score off,USDJPY,2021-11-16 18:00:00,top,reversal,False,4
score off,USDJPY,2021-11-23 02:00:00,top,reversal,False,1
score off,USDJPY,2022-01-04 02:00:00,top,continuation,False,2
score off,USDJPY,2022-03-18 09:00:00,top,continuation,False,8
score off,USDJPY,2022-03-28 01:00:00,top,continuation,False,1
score off,USDJPY,2022-04-11 09:00:00,top,reversal,False,3
score off,USDJPY,2022-04-28 05:00:00,top,reversal,False,1
score off,USDJPY,2022-06-01 13:00:00,top,reversal,False,5
score off,USDJPY,2022-06-06 13:00:00,top,continuation,False,2
score off,USDJPY,2022-06-09 05:00:00,top,continuation,False,2
score off,USDJPY,2024-11-27 06:00:00,bottom,continuation,False,2
score off,USDJPY,2024-12-02 10:00:00,bottom,continuation,False,1
score off,USDJPY,2025-04-21 01:00:00,bottom,continuation,False,6
score off,USDJPY,2025-05-12 05:00:00,top,continuation,False,1
score off,USDCAD,2020-12-03 14:00:00,bottom,continuation,False,5
score off,USDCAD,2021-03-17 17:00:00,bottom,continuation,False,3
score off,USDCAD,2021-10-14 05:00:00,bottom,continuation,False,2
score off,USDCAD,2021-11-22 14:00:00,top,continuation,False,4
score off,USDCAD,2022-01-28 06:00:00,top,reversal,False,5
score off,USDCAD,2025-02-02 22:00:00,top,reversal,False,2
score off,USDCAD,2025-10-09 13:00:00,top,reversal,False,5
score off,USDCAD,2025-12-11 14:00:00,bottom,continuation,False,11
score off,USDCAD,2026-07-17 13:00:00,bottom,reversal,False,5
score off,NZDUSD,2020-08-28 09:00:00,top,continuation,False,1
score off,NZDUSD,2020-12-30 02:00:00,top,continuation,False,3
score off,NZDUSD,2020-12-30 22:00:00,top,reversal,False,4
score off,NZDUSD,2021-01-05 14:00:00,top,continuation,False,4
score off,NZDUSD,2021-02-21 22:00:00,top,reversal,False,2
score off,NZDUSD,2021-02-24 14:00:00,top,continuation,False,1
score off,NZDUSD,2021-02-25 06:00:00,top,reversal,False,1
score off,NZDUSD,2021-06-16 17:00:00,bottom,reversal,False,1
score off,NZDUSD,2021-11-24 14:00:00,bottom,reversal,False,2
score off,NZDUSD,2022-04-13 09:00:00,bottom,reversal,False,3
score off,NZDUSD,2022-04-28 01:00:00,bottom,reversal,False,1
score off,NZDUSD,2022-06-13 05:00:00,bottom,continuation,False,1
score off,NZDUSD,2022-06-13 13:00:00,bottom,continuation,False,5
score off,NZDUSD,2022-09-26 17:00:00,bottom,reversal,False,1
score off,NZDUSD,2023-04-05 01:00:00,top,reversal,False,1
score off,NZDUSD,2023-05-31 01:00:00,bottom,reversal,False,4
score off,NZDUSD,2023-06-14 13:00:00,top,reversal,False,1
score off,NZDUSD,2024-08-29 01:00:00,top,reversal,False,1
score off,NZDUSD,2025-02-02 22:00:00,bottom,reversal,False,3
score off,NZDUSD,2025-07-22 13:00:00,top,continuation,False,4
score off,NZDUSD,2026-01-27 18:00:00,top,reversal,False,1
