bucket,n_obs,reversal_rate,baseline,lift,ci_lo,ci_hi,arm
"[0,10)",192828,0.491500197066816,0.4921630847626704,-0.000662887695854375,-0.0023644191816658265,0.0009130274863065758,suppress
"[10,20)",8004,0.4927536231884058,0.490019699371225,0.0027339238171807945,-0.0131408196416038,0.020148013347187233,suppress
"[20,30)",17386,0.4979293684573795,0.49264043646695455,0.005288931990424961,-0.00875017595550982,0.019151920102806932,suppress
"[30,40)",2681,0.4878776575904513,0.4900981450137459,-0.0022204874232945593,-0.028806759780684157,0.025226773846662193,suppress
"[40,50)",1012,0.4980237154150198,0.49095832645148924,0.007065388963530539,-0.0383235579431788,0.05602652595338418,suppress
"[50,60)",539,0.5083487940630798,0.49346669604170934,0.014882098021370416,-0.03791792137442482,0.07012404388857517,suppress
"[60,100]",200,0.515,0.49115443442403667,0.023845565575963346,-0.045818025062453804,0.10185301988350723,suppress
"[0,10)",181746,0.4909874220065366,0.49227480844757965,-0.001287386441043037,-0.0035845216099117602,0.000915171972296713,off
"[10,20)",10612,0.5078213343384848,0.49015629657177434,0.017665037766710412,0.003185748995717981,0.032685174086368986,off
"[20,30)",22487,0.4956641615155423,0.4921423368615076,0.003521824654034722,-0.008431346230876071,0.015551580566569837,off
"[30,40)",4433,0.48296864425896685,0.4894760482663316,-0.00650740400736477,-0.033358402420507215,0.02023265160056034,off
"[40,50)",1828,0.48577680525164113,0.4908722894821497,-0.005095484230508596,-0.03823069728156725,0.033522939220291675,off
"[50,60)",1138,0.4868189806678383,0.49301611220564595,-0.006197131537807654,-0.041853854111959986,0.034801889915258025,off
"[60,100]",406,0.5221674876847291,0.49129338136391065,0.03087410632081844,-0.029902050853795388,0.10026100445767311,off
