study,pair,date,side,outcome,tie,k
score suppress,EURUSD,2020-07-21 21:00:00,top,continuation,False,4
score suppress,EURUSD,2020-08-18 17:00:00,top,reversal,False,7
score suppress,EURUSD,2020-08-31 17:00:00,top,reversal,False,2
score suppress,EURUSD,2021-09-02 17:00:00,top,reversal,False,16
score suppress,EURUSD,2023-06-14 17:00:00,top,reversal,False,1
score suppress,EURUSD,2026-04-13 21:00:00,top,continuation,False,4
score suppress,GBPUSD,2021-02-16 01:00:00,top,continuation,False,1
score suppress,GBPUSD,2021-10-19 13:00:00,top,reversal,False,6
score suppress,GBPUSD,2022-06-13 01:00:00,bottom,continuation,False,2
score suppress,GBPUSD,2022-07-05 17:00:00,bottom,reversal,False,3
score suppress,GBPUSD,2023-09-14 21:00:00,bottom,reversal,False,4
score suppress,GBPUSD,2024-03-06 21:00:00,top,reversal,False,2
score suppress,GBPUSD,2024-12-19 21:00:00,bottom,continuation,False,3
score suppress,USDJPY,2020-06-23 17:00:00,bottom,reversal,False,1
score suppress,USDJPY,2020-07-27 01:00:00,bottom,continuation,False,1
score suppress,USDJPY,2020-08-18 05:00:00,bottom,continuation,False,2
score suppress,USDJPY,2020-12-16 13:00:00,bottom,reversal,False,1
score suppress,USDJPY,2020-12-17 13:00:00,bottom,reversal,False,4
score suppress,USDJPY,2021-01-04 13:00:00,bottom,reversal,False,1
score suppress,USDJPY,2021-01-05 21:00:00,bottom,reversal,False,2
score suppress,USDJPY,2021-11-16 17:00:00,top,continuation,False,2
score suppress,USDJPY,2022-01-04 05:00:00,top,continuation,False,1
score suppress,USDJPY,2022-04-11 05:00:00,top,continuation,False,1
score suppress,USDJPY,2022-04-19 05:00:00,top,continuation,False,1
score suppress,USDJPY,2022-04-28 09:00:00,top,continuation,False,2
score suppress,USDJPY,2023-06-22 17:00:00,top,continuation,False,4
score suppress,USDJPY,2024-11-27 13:00:00,bottom,continuation,False,2
score suppress,USDJPY,2025-05-12 13:00:00,top,reversal,False,8
score suppress,USDJPY,2025-05-26 05:00:00,bottom,reversal,False,2
score suppress,USDCAD,2021-01-05 21:00:00,bottom,reversal,False,5
score suppress,USDCAD,2021-05-06 17:00:00,bottom,continuation,False,2
score suppress,USDCAD,2023-06-15 21:00:00,bottom,reversal,False,15
score suppress,USDCAD,2023-08-08 09:00:00,top,continuation,False,1
score suppress,USDCAD,2024-11-26 05:00:00,top,reversal,False,4
score suppress,USDCAD,2025-08-20 05:00:00,top,reversal,False,3
score suppress,USDCAD,2026-03-08 17:00:00,bottom,reversal,False,2
score suppress,USDCAD,2026-07-14 17:00:00,bottom,continuation,False,7
score suppress,NZDUSD,2020-12-17 17:00:00,top,reversal,False,1
score suppress,NZDUSD,2020-12-30 13:00:00,top,continuation,False,4
score suppress,NZDUSD,2021-01-05 21:00:00,top,continuation,False,4
score suppress,NZDUSD,2021-02-22 05:00:00,top,reversal,False,2
score suppress,NZDUSD,2021-06-16 21:00:00,bottom,reversal,False,2
score suppress,NZDUSD,2022-01-27 01:00:00,bottom,continuation,False,1
score suppress,NZDUSD,2022-06-09 17:00:00,bottom,reversal,False,5
score suppress,NZDUSD,2022-06-13 01:00:00,bottom,continuation,False,3
score suppress,NZDUSD,2023-06-14 17:00:00,top,reversal,False,1
score suppress,NZDUSD,2023-07-12 17:00:00,top,continuation,False,4
score suppress,NZDUSD,2023-08-17 05:00:00,bottom,reversal,False,2
score suppress,NZDUSD,2024-03-28 13:00:00,bottom,reversal,False,1
score suppress,AUDUSD,2021-01-05 21:00:00,top,reversal,False,2
score suppress,AUDUSD,2021-02-19 13:00:00,top,continuation,False,1
score suppress,AUDUSD,2022-01-24 17:00:00,bottom,reversal,False,2
score suppress,AUDUSD,2022-01-27 09:00:00,bottom,reversal,False,1
score suppress,AUDUSD,2022-01-27 21:00:00,bottom,continuation,False,4
score suppress,AUDUSD,2024-09-24 21:00:00,top,reversal,False,6
score suppress,USDCHF,2020-07-06 05:00:00,bottom,continuation,False,2
score suppress,USDCHF,2020-07-06 17:00:00,bottom,reversal,False,1
score suppress,USDCHF,2020-07-21 21:00:00,bottom,continuation,False,5
score suppress,USDCHF,2020-08-18 17:00:00,bottom,reversal,False,6
score suppress,USDCHF,2020-08-28 09:00:00,bottom,continuation,False,1
score suppress,USDCHF,2020-12-01 21:00:00,bottom,continuation,False,2
score suppress,USDCHF,2020-12-02 17:00:00,bottom,continuation,False,5
score suppress,USDCHF,2021-02-24 01:00:00,top,continuation,False,3
score suppress,USDCHF,2022-03-14 01:00:00,top,continuation,False,5
score suppress,USDCHF,2022-04-27 09:00:00,top,continuation,False,2
score suppress,USDCHF,2022-08-30 17:00:00,top,reversal,False,1
score suppress,USDCHF,2023-05-18 17:00:00,top,reversal,False,4
score suppress,USDCHF,2024-12-19 01:00:00,top,reversal,False,3
score suppress,USDCHF,2025-02-24 05:00:00,bottom,reversal,False,2
score suppress,USDCHF,2026-01-15 17:00:00,top,reversal,False,5
score suppress,EURJPY,2020-08-05 17:00:00,top,reversal,False,5
score suppress,EURJPY,2021-07-19 13:00:00,bottom,continuation,False,1
score suppress,EURJPY,2022-01-03 01:00:00,top,reversal,False,3
score suppress,EURJPY,2022-04-19 09:00:00,top,continuation,False,1
score suppress,EURJPY,2022-09-06 09:00:00,top,continuation,False,1
score suppress,EURJPY,2025-01-13 13:00:00,bottom,reversal,False,3
score suppress,EURJPY,2025-01-17 01:00:00,bottom,reversal,False,3
score suppress,GBPJPY,2020-05-17 21:00:00,bottom,reversal,False,4
score suppress,GBPJPY,2020-07-07 17:00:00,top,reversal,False,2
score suppress,GBPJPY,2021-05-27 17:00:00,top,reversal,False,11
score suppress,GBPJPY,2022-02-10 13:00:00,top,continuation,False,1
