bucket,n_obs,reversal_rate,baseline,lift,ci_lo,ci_hi,arm
"[0,10)",198395,0.4909901963255122,0.49151810370838284,-0.0005279073828706182,-0.0022648482088598433,0.001141343938833687,suppress
"[10,20)",8286,0.5030171373400917,0.488792387905433,0.014224749434658679,-0.003243017453748145,0.03281555158071705,suppress
"[20,30)",17716,0.4940731542108828,0.4926331006037864,0.0014400536070964254,-0.01308011666570302,0.015712626984131443,suppress
"[30,40)",2680,0.4843283582089552,0.48974115680552244,-0.0054127985965672365,-0.036797359346944024,0.027658353957057073,suppress
"[40,50)",1011,0.503461918892186,0.4914855582065717,0.011976360685614251,-0.026059192716715338,0.05156582613081097,suppress
"[50,60)",581,0.4475043029259897,0.49435578949830056,-0.04685148657231086,-0.09212932589549477,0.0024140467143728642,suppress
"[60,100]",165,0.43636363636363634,0.4910616061220718,-0.05469796975843544,-0.1386652087318534,0.040579791078962466,suppress
"[0,10)",186667,0.49060090964123276,0.4916590358798944,-0.0010581262386616386,-0.003468541477260946,0.0012607029341328278,off
"[10,20)",11035,0.505210693248754,0.48890796815386306,0.016302725094890946,-0.0008063011483709497,0.034195428213898205,off
"[20,30)",23091,0.4957775756788359,0.4919124292927162,0.0038651463861196778,-0.009028645254889606,0.017188132533582316,off
"[30,40)",4607,0.47883655307141304,0.48868329384514575,-0.00984674077373271,-0.03543017845310754,0.017925752635783495,off
"[40,50)",1867,0.4922335297268345,0.49060211066452375,0.001631419062310735,-0.027686265449535036,0.03407931284251577,off
"[50,60)",1219,0.4725184577522559,0.4933033670655745,-0.020784909313318556,-0.06337963348409764,0.025892747294855096,off
"[60,100]",348,0.47988505747126436,0.4913176328263846,-0.011432575355120211,-0.07054792993367852,0.054512871357591065,off
