study,pair,date,side,outcome,tie,k,bucket
score suppress,EURUSD,2024-08-14,top,timeout,False,20,3
score suppress,GBPUSD,2022-06-14,bottom,timeout,False,20,3
score suppress,GBPUSD,2024-09-24,top,reversal,False,16,3
score suppress,USDCAD,2021-07-19,top,reversal,False,8,2
score suppress,NZDUSD,2022-06-14,bottom,timeout,False,20,3
score suppress,USDCHF,2024-07-25,bottom,continuation,False,7,3
score suppress,EURJPY,2021-04-29,top,timeout,False,20,3
score suppress,GBPJPY,2024-02-23,top,timeout,False,20,3
score suppress,GBPJPY,2024-06-24,top,continuation,False,12,3
score suppress,CADJPY,2025-03-04,bottom,timeout,False,20,3
score suppress,CADJPY,2025-12-19,top,timeout,False,20,3
score suppress,AUDJPY,2025-04-04,bottom,continuation,False,3,3
score suppress,AUDJPY,2026-01-22,top,timeout,False,20,3
score suppress,AUDJPY,2026-03-11,top,reversal,False,13,3
score suppress,NZDJPY,2024-06-21,top,continuation,False,13,2
score suppress,NZDJPY,2025-03-04,bottom,timeout,False,20,3
score suppress,NZDJPY,2025-04-07,bottom,timeout,False,20,3
score off,EURUSD,2024-08-14,top,timeout,False,20,3
score off,EURUSD,2025-04-11,top,timeout,False,20,3
score off,GBPUSD,2022-06-14,bottom,timeout,False,20,3
score off,GBPUSD,2024-09-24,top,reversal,False,16,3
score off,USDJPY,2021-11-24,top,reversal,False,4,3
score off,USDCAD,2021-07-19,top,reversal,False,8,2
score off,NZDUSD,2022-06-14,bottom,timeout,False,20,3
score off,AUDUSD,2024-12-11,bottom,timeout,False,20,3
score off,USDCHF,2022-06-15,top,reversal,False,9,3
score off,USDCHF,2024-07-25,bottom,continuation,False,7,3
score off,EURJPY,2021-04-29,top,timeout,False,20,3
score off,EURJPY,2022-04-19,top,reversal,False,17,3
score off,GBPJPY,2024-02-23,top,timeout,False,20,3
score off,GBPJPY,2024-06-24,top,continuation,False,12,3
score off,CADJPY,2025-03-04,bottom,timeout,False,20,3
score off,CADJPY,2025-12-19,top,timeout,False,20,3
score off,AUDJPY,2025-04-04,bottom,continuation,False,3,3
score off,AUDJPY,2026-01-22,top,timeout,False,20,3
score off,AUDJPY,2026-03-11,top,reversal,False,13,3
score off,NZDJPY,2024-06-21,top,continuation,False,13,2
score off,NZDJPY,2025-03-04,bottom,timeout,False,20,3
score off,NZDJPY,2025-04-07,bottom,timeout,False,20,3
single pct_b,EURUSD,2021-02-03,bottom,reversal,False,16,2
single pct_b,EURUSD,2021-03-05,bottom,timeout,False,20,3
single pct_b,EURUSD,2021-04-19,top,timeout,False,20,3
single pct_b,EURUSD,2021-05-18,top,timeout,False,20,3
single pct_b,EURUSD,2021-06-17,bottom,timeout,False,20,3
single pct_b,EURUSD,2021-07-30,top,reversal,False,6,2
single pct_b,EURUSD,2021-09-02,top,reversal,False,19,3
single pct_b,EURUSD,2021-09-30,bottom,timeout,False,20,3
single pct_b,EURUSD,2021-11-11,bottom,continuation,False,8,3
single pct_b,EURUSD,2022-01-13,top,reversal,False,9,2
single pct_b,EURUSD,2022-01-27,bottom,reversal,False,11,3
single pct_b,EURUSD,2022-03-02,bottom,timeout,False,20,3
single pct_b,EURUSD,2022-04-06,bottom,continuation,False,14,2
single pct_b,EURUSD,2022-05-24,top,timeout,False,20,3
single pct_b,EURUSD,2022-07-05,bottom,continuation,False,8,3
single pct_b,EURUSD,2022-08-11,top,reversal,False,6,2
single pct_b,EURUSD,2022-09-23,bottom,timeout,False,20,3
single pct_b,EURUSD,2022-10-26,top,continuation,False,14,3
single pct_b,EURUSD,2022-12-14,top,timeout,False,20,3
single pct_b,EURUSD,2023-01-13,top,timeout,False,20,3
single pct_b,EURUSD,2023-03-21,top,continuation,False,11,2
single pct_b,EURUSD,2023-05-15,bottom,continuation,False,13,3
single pct_b,EURUSD,2023-06-15,top,continuation,False,20,3
single pct_b,EURUSD,2023-08-23,bottom,timeout,False,20,3
single pct_b,EURUSD,2023-10-31,top,continuation,False,11,2
single pct_b,EURUSD,2023-12-28,top,reversal,False,4,3
single pct_b,EURUSD,2024-01-29,bottom,timeout,False,20,2
single pct_b,EURUSD,2024-03-08,top,reversal,False,14,2
single pct_b,EURUSD,2024-04-12,bottom,timeout,False,20,3
single pct_b,EURUSD,2024-05-16,top,timeout,False,20,3
single pct_b,EURUSD,2024-06-14,bottom,timeout,False,20,3
single pct_b,EURUSD,2024-08-14,top,timeout,False,20,3
single pct_b,EURUSD,2024-10-07,bottom,timeout,False,20,3
