study,pair,date,side,outcome,tie,k,bucket
score suppress,EURUSD,2010-05-04,bottom,continuation,False,9,3
score suppress,EURUSD,2011-04-11,top,continuation,False,15,3
score suppress,EURUSD,2011-12-14,bottom,timeout,False,20,2
score suppress,EURUSD,2017-06-30,top,continuation,False,18,3
score suppress,EURUSD,2018-01-03,top,continuation,False,16,3
score suppress,GBPUSD,2010-02-08,bottom,continuation,False,15,3
score suppress,GBPUSD,2010-05-14,bottom,timeout,False,20,3
score suppress,GBPUSD,2014-05-07,top,timeout,False,20,3
score suppress,GBPUSD,2018-01-15,top,continuation,False,7,3
score suppress,GBPUSD,2021-02-22,top,timeout,False,20,3
score suppress,GBPUSD,2022-06-15,bottom,timeout,False,20,3
score suppress,USDJPY,2012-11-15,top,continuation,False,19,3
score suppress,USDJPY,2020-07-28,bottom,timeout,False,20,3
score suppress,USDJPY,2020-12-16,bottom,timeout,False,20,2
score suppress,USDJPY,2021-03-01,top,continuation,False,6,3
score suppress,USDJPY,2021-11-23,top,reversal,False,5,3
score suppress,NZDUSD,2015-01-26,bottom,timeout,False,20,3
score suppress,NZDUSD,2021-02-19,top,reversal,False,10,3
score suppress,NZDUSD,2022-06-14,bottom,timeout,False,20,3
score suppress,AUDUSD,2009-10-12,top,timeout,False,20,3
score suppress,AUDUSD,2015-01-29,bottom,timeout,False,20,3
score suppress,AUDUSD,2017-07-17,top,continuation,False,8,3
score suppress,USDCHF,2011-03-16,bottom,timeout,False,20,3
score suppress,USDCHF,2020-12-03,bottom,timeout,False,20,3
score suppress,USDCHF,2021-01-06,bottom,reversal,False,3,2
score suppress,USDCHF,2022-06-13,top,reversal,False,9,3
score suppress,GBPJPY,2024-03-20,top,timeout,False,20,3
score suppress,CADJPY,2021-02-15,top,continuation,False,14,3
score suppress,CADJPY,2021-07-19,bottom,reversal,False,16,2
score suppress,AUDJPY,2010-04-05,top,timeout,False,20,3
score suppress,AUDJPY,2025-04-04,bottom,timeout,False,20,3
score suppress,NZDJPY,2025-04-04,bottom,timeout,False,20,3
score off,EURUSD,2010-01-29,bottom,timeout,False,20,3
score off,EURUSD,2010-05-04,bottom,continuation,False,9,3
score off,EURUSD,2010-06-04,bottom,timeout,False,20,3
score off,EURUSD,2011-04-11,top,continuation,False,15,3
score off,EURUSD,2011-12-14,bottom,timeout,False,20,2
score off,EURUSD,2014-09-29,bottom,timeout,False,20,3
score off,EURUSD,2015-03-06,bottom,continuation,False,3,3
score off,EURUSD,2017-06-30,top,continuation,False,18,3
score off,EURUSD,2018-01-03,top,continuation,False,16,3
score off,EURUSD,2020-07-27,top,timeout,False,20,3
score off,GBPUSD,2010-02-08,bottom,continuation,False,15,3
score off,GBPUSD,2010-05-14,bottom,timeout,False,20,3
score off,GBPUSD,2014-05-07,top,timeout,False,20,3
score off,GBPUSD,2014-10-15,bottom,timeout,False,20,3
score off,GBPUSD,2015-01-05,bottom,timeout,False,20,3
score off,GBPUSD,2018-01-15,top,continuation,False,7,3
score off,GBPUSD,2021-02-22,top,timeout,False,20,3
score off,GBPUSD,2022-06-15,bottom,timeout,False,20,3
score off,GBPUSD,2024-09-25,top,reversal,False,15,3
score off,USDJPY,2009-10-07,bottom,timeout,False,20,3
score off,USDJPY,2012-11-15,top,continuation,False,19,3
score off,USDJPY,2020-07-28,bottom,timeout,False,20,3
score off,USDJPY,2020-12-16,bottom,timeout,False,20,2
score off,USDJPY,2021-03-01,top,continuation,False,6,3
score off,USDJPY,2021-11-23,top,reversal,False,5,3
score off,USDCAD,2024-12-06,top,continuation,False,8,3
score off,NZDUSD,2015-01-26,bottom,timeout,False,20,3
score off,NZDUSD,2017-07-21,top,timeout,False,20,3
score off,NZDUSD,2020-03-12,bottom,continuation,False,4,3
score off,NZDUSD,2020-12-30,top,timeout,False,20,3
score off,NZDUSD,2021-02-19,top,reversal,False,10,3
score off,NZDUSD,2022-06-14,bottom,timeout,False,20,3
