bucket,n_obs,reversal_rate,baseline,lift,ci_lo,ci_hi,arm
"[0,10)",30678,0.4908403416128822,0.4951454478043778,-0.0043051061914956,-0.008738563404059672,0.0001193079496895283,suppress
"[10,20)",1416,0.5268361581920904,0.48590331592639013,0.040932842265700264,-0.005667876817791268,0.09014367563995186,suppress
"[20,30)",2519,0.5232235013894403,0.4950930979347456,0.028130403454694697,-0.009934558416264927,0.0634612758865857,suppress
"[30,40)",403,0.49379652605459057,0.4821453485114643,0.011651177543126279,-0.05619575654008934,0.09163384793682056,suppress
"[40,50)",139,0.39568345323741005,0.4884199147012317,-0.09273646146382164,-0.18850774503944986,0.035913020375689074,suppress
"[50,60)",105,0.5619047619047619,0.4852338162611934,0.07667094564356852,-0.06876029975498103,0.1966965043856084,suppress
"[60,100]",28,0.6071428571428571,0.48588746096033175,0.12125539618252534,-0.09112456831333526,0.4620921099541421,suppress
"[0,10)",29393,0.4879052835709182,0.4958378904516502,-0.007932606880731996,-0.013109469055422476,-0.00283545000197237,off
"[10,20)",1714,0.5350058343057176,0.48552720554838746,0.04947862875733011,0.009120920823097933,0.09391939064138363,off
"[20,30)",3180,0.5254716981132076,0.49222479146005477,0.03324690665315283,-0.0021965109431715474,0.06783094576268457,off
"[30,40)",559,0.5259391771019678,0.4787963313763997,0.047142845725568094,-0.010640589697940479,0.11396945928860532,off
"[40,50)",217,0.4608294930875576,0.48560746053288834,-0.02477796744533073,-0.09450965142582049,0.0646660993490522,off
"[50,60)",182,0.554945054945055,0.47630965378332196,0.07863540116173301,-0.01514612201873047,0.16540423944703747,off
"[60,100]",43,0.6511627906976745,0.48037427065407107,0.1707885200436034,-0.0190345545759629,0.41227608164281315,off
