bucket,n_obs,reversal_rate,baseline,lift,ci_lo,ci_hi,arm
"[0,10)",65440,0.4974786063569682,0.4969498358267804,0.0005287705301878498,-0.002510071322646408,0.0034277326624575413,suppress
"[10,20)",2904,0.4896694214876033,0.4965625797649701,-0.0068931582773668065,-0.03740703002031979,0.02556788096147311,suppress
"[20,30)",4950,0.4901010101010101,0.49803382703078836,-0.007932816929778264,-0.03481894953139774,0.01921906133979373,suppress
"[30,40)",737,0.514246947082768,0.4984095617939577,0.01583738528881029,-0.03554494929901544,0.06907914094324037,suppress
"[40,50)",223,0.5112107623318386,0.49748155018322365,0.013729212148614944,-0.05530030396312742,0.08626849197304687,suppress
"[50,60)",271,0.5424354243542435,0.49710954808826247,0.04532587626598106,-0.03233719781642639,0.12660427689188486,suppress
"[60,100]",59,0.4576271186440678,0.4971974201811848,-0.03957030153711699,-0.13677260509245764,0.08382293082439322,suppress
"[0,10)",61969,0.49792638254611177,0.49691980885754805,0.0010065736885637167,-0.003744270537994711,0.005497022877510209,off
"[10,20)",3500,0.4848571428571429,0.49656116906877484,-0.011704026211631968,-0.043390025267651296,0.021313138916844877,off
"[20,30)",6609,0.48751702224239674,0.4977005449797027,-0.010183522737305939,-0.03432098689733536,0.015957063861771873,off
"[30,40)",1161,0.5314384151593454,0.4982017914358556,0.033236623723489844,-0.011428666524935245,0.08104060342345429,off
"[40,50)",494,0.4777327935222672,0.4989287715234567,-0.021195978001189497,-0.07645225909759343,0.04225730118838744,off
"[50,60)",664,0.536144578313253,0.49803953291967423,0.038105045393578785,-0.015948040799568814,0.09950665983169558,off
"[60,100]",187,0.45989304812834225,0.5001498852767904,-0.04025683714844813,-0.12160190446540041,0.07003550366003997,off
