study,pair,date,side,outcome,tie,k
score suppress,EURUSD,2010-05-04,bottom,continuation,False,1
score suppress,EURUSD,2011-04-11,top,reversal,False,5
score suppress,EURUSD,2011-04-28,top,continuation,False,4
score suppress,EURUSD,2011-12-14,bottom,reversal,False,5
score suppress,EURUSD,2012-01-06,bottom,continuation,False,6
score suppress,EURUSD,2017-05-17,top,continuation,False,2
score suppress,EURUSD,2017-06-30,top,reversal,False,2
score suppress,EURUSD,2018-01-03,top,reversal,False,3
score suppress,EURUSD,2020-12-31,top,reversal,False,1
score suppress,GBPUSD,2009-05-20,top,reversal,False,1
score suppress,GBPUSD,2010-02-08,bottom,reversal,False,1
score suppress,GBPUSD,2010-02-25,bottom,continuation,False,2
score suppress,GBPUSD,2010-05-14,bottom,continuation,False,1
score suppress,GBPUSD,2010-05-18,bottom,reversal,False,4
score suppress,GBPUSD,2014-05-07,top,reversal,False,2
score suppress,GBPUSD,2018-01-15,top,continuation,False,2
score suppress,USDJPY,2012-11-15,top,continuation,False,3
score suppress,USDJPY,2020-07-28,bottom,continuation,True,3
score suppress,USDJPY,2020-12-16,bottom,continuation,False,1
score suppress,NZDUSD,2015-01-26,bottom,continuation,False,2
score suppress,AUDUSD,2009-10-08,top,continuation,False,5
score suppress,AUDUSD,2011-04-20,top,continuation,False,5
score suppress,AUDUSD,2015-01-29,bottom,continuation,False,3
score suppress,AUDUSD,2017-07-17,top,continuation,False,1
score suppress,USDCHF,2011-03-16,bottom,reversal,False,7
score suppress,USDCHF,2011-04-25,bottom,continuation,False,1
score suppress,USDCHF,2020-12-03,bottom,continuation,False,9
score suppress,USDCHF,2020-12-30,bottom,reversal,False,2
score suppress,EURJPY,2019-09-03,bottom,reversal,False,1
score suppress,GBPJPY,2016-06-27,bottom,continuation,False,7
score suppress,AUDJPY,2010-04-05,top,reversal,False,3
score suppress,AUDJPY,2013-04-08,top,continuation,False,2
score off,EURUSD,2010-01-29,bottom,reversal,False,3
score off,EURUSD,2010-05-04,bottom,continuation,False,1
score off,EURUSD,2010-06-04,bottom,reversal,False,6
score off,EURUSD,2011-04-11,top,reversal,False,5
score off,EURUSD,2011-04-28,top,continuation,False,4
score off,EURUSD,2011-10-04,bottom,reversal,False,2
score off,EURUSD,2011-12-14,bottom,reversal,False,5
score off,EURUSD,2012-01-06,bottom,continuation,False,6
score off,EURUSD,2014-09-29,bottom,continuation,False,1
score off,EURUSD,2014-10-01,bottom,continuation,False,2
score off,EURUSD,2014-10-06,bottom,reversal,False,1
score off,EURUSD,2015-01-19,bottom,continuation,False,3
score off,EURUSD,2015-01-23,bottom,continuation,False,1
score off,EURUSD,2015-03-06,bottom,continuation,False,1
score off,EURUSD,2015-03-16,bottom,reversal,False,1
score off,EURUSD,2017-05-17,top,continuation,False,2
score off,EURUSD,2017-06-30,top,reversal,False,2
score off,EURUSD,2017-07-24,top,continuation,False,3
score off,EURUSD,2018-01-03,top,reversal,False,3
score off,EURUSD,2018-01-16,top,continuation,False,6
score off,EURUSD,2020-07-27,top,continuation,False,1
score off,EURUSD,2020-07-31,top,reversal,False,1
score off,EURUSD,2020-12-31,top,reversal,False,1
score off,GBPUSD,2009-05-20,top,reversal,False,1
score off,GBPUSD,2010-02-08,bottom,reversal,False,1
score off,GBPUSD,2010-02-25,bottom,continuation,False,2
score off,GBPUSD,2010-05-14,bottom,continuation,False,1
score off,GBPUSD,2010-05-18,bottom,reversal,False,4
score off,GBPUSD,2014-05-07,top,reversal,False,2
score off,GBPUSD,2014-10-15,bottom,reversal,False,1
score off,GBPUSD,2015-01-05,bottom,continuation,False,1
score off,GBPUSD,2018-01-15,top,continuation,False,2
score off,GBPUSD,2018-01-19,top,continuation,False,2
score off,GBPUSD,2018-01-25,top,reversal,False,2
score off,USDJPY,2009-10-07,bottom,reversal,False,2
score off,USDJPY,2012-11-15,top,continuation,False,3
score off,USDJPY,2020-07-28,bottom,continuation,True,3
score off,USDJPY,2020-12-16,bottom,continuation,False,1
score off,USDCAD,2017-09-06,bottom,continuation,False,1
score off,USDCAD,2020-03-09,top,continuation,True,1
score off,NZDUSD,2014-09-25,bottom,continuation,False,2
score off,NZDUSD,2015-01-26,bottom,continuation,False,2
score off,NZDUSD,2015-07-16,bottom,reversal,False,2
score off,NZDUSD,2017-07-21,top,continuation,False,3
score off,NZDUSD,2020-03-12,bottom,continuation,False,2
score off,NZDUSD,2020-12-30,top,continuation,False,5
score off,AUDUSD,2009-10-08,top,continuation,False,5
score off,AUDUSD,2011-04-20,top,continuation,False,5
score off,AUDUSD,2013-06-19,bottom,continuation,False,7
score off,AUDUSD,2015-01-29,bottom,continuation,False,3
score off,AUDUSD,2017-07-17,top,continuation,False,1
score off,USDCHF,2011-03-16,bottom,reversal,False,7
score off,USDCHF,2011-04-25,bottom,continuation,False,1
score off,USDCHF,2014-09-04,top,continuation,False,3
score off,USDCHF,2020-07-23,bottom,continuation,False,2
score off,USDCHF,2020-12-03,bottom,continuation,False,9
score off,USDCHF,2020-12-30,bottom,reversal,False,2
score off,EURJPY,2012-12-13,top,continuation,False,2
score off,EURJPY,2013-12-30,top,reversal,False,3
score off,EURJPY,2019-09-03,bottom,reversal,False,1
score off,GBPJPY,2012-12-11,top,continuation,False,1
score off,GBPJPY,2012-12-31,top,continuation,False,2
score off,GBPJPY,2013-12-27,top,reversal,False,5
score off,GBPJPY,2015-06-17,top,reversal,False,6
score off,GBPJPY,2016-02-11,bottom,reversal,False,2
score off,GBPJPY,2016-06-27,bottom,continuation,False,7
score off,CADJPY,2010-04-05,top,reversal,False,2
score off,CADJPY,2012-12-17,top,reversal,False,4
score off,CADJPY,2013-01-02,top,continuation,False,2
score off,CADJPY,2013-01-21,top,reversal,False,1
score off,CADJPY,2016-01-05,bottom,continuation,False,1
score off,CADJPY,2016-01-15,bottom,reversal,False,2
score off,AUDJPY,2010-04-05,top,reversal,False,3
score off,AUDJPY,2012-02-16,top,continuation,False,2
score off,AUDJPY,2012-12-12,top,continuation,False,3
score off,AUDJPY,2012-12-31,top,continuation,False,2
score off,AUDJPY,2013-01-04,top,reversal,False,2
score off,AUDJPY,2013-01-09,top,continuation,False,1
score off,AUDJPY,2013-01-21,top,reversal,False,2
score off,AUDJPY,2013-01-24,top,continuation,False,6
score off,AUDJPY,2013-02-05,top,reversal,False,1
score off,AUDJPY,2013-04-08,top,continuation,False,2
score off,AUDJPY,2019-06-13,bottom,continuation,False,2
score off,AUDJPY,2020-03-09,bottom,reversal,False,1
score off,AUDJPY,2020-03-12,bottom,reversal,False,1
score off,NZDJPY,2012-12-12,top,continuation,False,2
score off,NZDJPY,2013-01-10,top,reversal,False,4
score off,NZDJPY,2013-02-01,top,reversal,False,5
score off,NZDJPY,2013-02-11,top,reversal,False,8
score off,NZDJPY,2017-07-26,top,reversal,False,3
score off,NZDJPY,2019-05-31,bottom,reversal,False,1
score off,NZDJPY,2019-09-02,bottom,reversal,False,2
single pct_b,EURUSD,2009-01-12,bottom,continuation,False,3
single pct_b,EURUSD,2009-02-17,bottom,reversal,False,3
single pct_b,EURUSD,2009-03-18,top,continuation,False,1
single pct_b,EURUSD,2009-04-20,bottom,reversal,False,3
single pct_b,EURUSD,2009-05-08,top,reversal,False,6
single pct_b,EURUSD,2009-05-21,top,continuation,False,6
single pct_b,EURUSD,2009-07-20,top,reversal,False,7
single pct_b,EURUSD,2009-08-03,top,reversal,False,4
single pct_b,EURUSD,2009-09-08,top,continuation,False,2
single pct_b,EURUSD,2009-09-14,top,continuation,False,2
single pct_b,EURUSD,2009-10-14,top,continuation,False,5
single pct_b,EURUSD,2009-11-25,top,reversal,False,1
single pct_b,EURUSD,2009-12-08,bottom,continuation,False,5
single pct_b,EURUSD,2009-12-17,bottom,reversal,False,13
single pct_b,EURUSD,2010-01-13,top,reversal,False,2
single pct_b,EURUSD,2010-01-20,bottom,continuation,False,6
single pct_b,EURUSD,2010-01-29,bottom,reversal,False,3
single pct_b,EURUSD,2010-03-12,top,reversal,False,4
single pct_b,EURUSD,2010-03-24,bottom,reversal,False,3
single pct_b,EURUSD,2010-04-22,bottom,reversal,False,1
single pct_b,EURUSD,2010-04-27,bottom,reversal,False,3
single pct_b,EURUSD,2010-05-04,bottom,continuation,False,1
single pct_b,EURUSD,2010-06-04,bottom,reversal,False,6
single pct_b,EURUSD,2010-07-15,top,reversal,False,4
single pct_b,EURUSD,2010-09-15,top,continuation,False,2
single pct_b,EURUSD,2010-09-22,top,continuation,False,2
single pct_b,EURUSD,2010-09-27,top,continuation,False,3
single pct_b,EURUSD,2010-11-04,top,reversal,False,2
single pct_b,EURUSD,2010-11-12,bottom,continuation,False,7
single pct_b,EURUSD,2011-01-07,bottom,reversal,False,4
single pct_b,EURUSD,2011-03-04,top,reversal,False,4
single pct_b,EURUSD,2011-03-21,top,continuation,False,12
single pct_b,EURUSD,2011-04-11,top,reversal,False,5
single pct_b,EURUSD,2011-04-28,top,continuation,False,4
single pct_b,EURUSD,2011-06-06,top,reversal,False,4
single pct_b,EURUSD,2011-07-12,bottom,reversal,False,2
single pct_b,EURUSD,2011-09-06,bottom,continuation,False,3
single pct_b,EURUSD,2011-10-04,bottom,reversal,False,2
single pct_b,EURUSD,2011-10-17,top,reversal,False,1
single pct_b,EURUSD,2011-10-28,top,reversal,False,1
single pct_b,EURUSD,2011-11-10,bottom,reversal,False,2
single pct_b,EURUSD,2011-12-13,bottom,continuation,False,1
single pct_b,EURUSD,2012-01-06,bottom,continuation,False,6
single pct_b,EURUSD,2012-01-30,top,reversal,False,2
single pct_b,EURUSD,2012-02-24,top,reversal,False,5
single pct_b,EURUSD,2012-05-07,bottom,continuation,False,5
single pct_b,EURUSD,2012-05-15,bottom,continuation,False,1
single pct_b,EURUSD,2012-07-09,bottom,continuation,False,10
single pct_b,EURUSD,2012-08-06,top,reversal,False,3
single pct_b,EURUSD,2012-08-22,top,continuation,False,7
single pct_b,EURUSD,2012-09-10,top,continuation,False,2
single pct_b,EURUSD,2012-10-17,top,reversal,False,4
single pct_b,EURUSD,2012-12-05,top,reversal,False,1
single pct_b,EURUSD,2012-12-19,top,reversal,False,11
single pct_b,EURUSD,2013-01-14,top,continuation,False,9
single pct_b,EURUSD,2013-02-22,bottom,reversal,False,1
single pct_b,EURUSD,2013-02-26,bottom,continuation,False,11
single pct_b,EURUSD,2013-03-28,bottom,reversal,False,6
single pct_b,EURUSD,2013-04-10,top,continuation,False,5
single pct_b,EURUSD,2013-05-16,bottom,reversal,False,4
single pct_b,EURUSD,2013-06-07,top,continuation,False,4
single pct_b,EURUSD,2013-08-21,top,reversal,False,1
single pct_b,EURUSD,2013-09-02,bottom,continuation,False,4
single pct_b,EURUSD,2013-09-19,top,continuation,False,10
single pct_b,EURUSD,2013-10-18,top,continuation,False,2
single pct_b,EURUSD,2013-10-23,top,reversal,False,6
single pct_b,EURUSD,2013-12-09,top,continuation,False,2
single pct_b,EURUSD,2014-01-06,bottom,reversal,False,6
single pct_b,EURUSD,2014-02-03,bottom,reversal,False,3
single pct_b,EURUSD,2014-03-07,top,continuation,False,4
single pct_b,EURUSD,2014-05-07,top,reversal,False,1
single pct_b,EURUSD,2014-05-14,bottom,continuation,False,7
single pct_b,EURUSD,2014-06-11,bottom,reversal,False,6
single pct_b,EURUSD,2014-07-01,top,reversal,False,2
single pct_b,EURUSD,2014-07-17,bottom,continuation,False,3
single pct_b,EURUSD,2014-07-23,bottom,continuation,False,4
single pct_b,EURUSD,2014-08-20,bottom,continuation,False,1
single pct_b,EURUSD,2014-09-05,bottom,continuation,False,9
single pct_b,EURUSD,2014-09-29,bottom,continuation,False,1
single pct_b,EURUSD,2014-10-01,bottom,continuation,False,2
single pct_b,EURUSD,2014-10-06,bottom,reversal,False,1
single pct_b,EURUSD,2014-11-03,bottom,continuation,False,4
single pct_b,EURUSD,2014-12-04,bottom,reversal,False,3
single pct_b,EURUSD,2014-12-22,bottom,continuation,False,7
single pct_b,EURUSD,2015-01-05,bottom,continuation,False,2
single pct_b,EURUSD,2015-01-19,bottom,continuation,False,3
single pct_b,EURUSD,2015-01-23,bottom,continuation,False,1
single pct_b,EURUSD,2015-02-27,bottom,continuation,False,3
single pct_b,EURUSD,2015-03-05,bottom,continuation,False,1
single pct_b,EURUSD,2015-03-16,bottom,reversal,False,1
single pct_b,EURUSD,2015-04-30,top,continuation,False,1
single pct_b,EURUSD,2015-05-07,top,reversal,False,2
single pct_b,EURUSD,2015-05-27,bottom,reversal,False,4
single pct_b,EURUSD,2015-06-29,bottom,reversal,False,1
single pct_b,EURUSD,2015-08-13,top,reversal,False,3
single pct_b,EURUSD,2015-08-21,top,continuation,False,1
single pct_b,EURUSD,2015-10-15,top,reversal,False,1
single pct_b,EURUSD,2015-10-23,bottom,continuation,False,4
single pct_b,EURUSD,2015-12-04,top,continuation,False,7
single pct_b,EURUSD,2016-01-06,bottom,reversal,False,1
single pct_b,EURUSD,2016-02-04,top,continuation,False,1
single pct_b,EURUSD,2016-03-18,top,reversal,False,2
single pct_b,EURUSD,2016-05-02,top,continuation,False,1
single pct_b,EURUSD,2016-05-25,bottom,reversal,False,7
single pct_b,EURUSD,2016-06-27,bottom,timeout,False,20
single pct_b,EURUSD,2016-08-01,top,reversal,False,4
single pct_b,EURUSD,2016-08-17,top,reversal,False,8
