pair,date,month,side,outcome,tie,k,y,arm
EURUSD,2021-05-18,2021-05,top,reversal,False,13,1,opposite
EURUSD,2022-12-14,2022-12,top,reversal,False,14,1,opposite
EURUSD,2023-01-20,2023-01,top,continuation,False,4,0,opposite
EURUSD,2023-10-03,2023-10,bottom,reversal,False,3,1,opposite
EURUSD,2023-12-28,2023-12,top,reversal,False,1,1,opposite
EURUSD,2024-11-12,2024-11,bottom,continuation,False,2,0,opposite
EURUSD,2025-04-10,2025-04,top,continuation,False,1,0,opposite
GBPUSD,2022-05-16,2022-05,bottom,reversal,False,1,1,opposite
GBPUSD,2022-05-18,2022-05,bottom,reversal,False,3,1,opposite
GBPUSD,2022-09-23,2022-09,bottom,continuation,False,1,0,opposite
GBPUSD,2025-01-02,2025-01,bottom,continuation,False,1,0,opposite
GBPUSD,2025-01-09,2025-01,bottom,continuation,False,2,0,opposite
GBPUSD,2025-04-03,2025-04,top,reversal,False,1,1,opposite
GBPUSD,2025-04-21,2025-04,top,reversal,False,2,1,opposite
GBPUSD,2025-04-28,2025-04,top,reversal,False,9,1,opposite
GBPUSD,2025-06-02,2025-06,top,continuation,False,9,0,opposite
USDJPY,2021-03-30,2021-03,top,continuation,False,1,0,opposite
USDJPY,2021-10-15,2021-10,top,reversal,False,5,1,opposite
USDJPY,2021-11-04,2021-11,top,reversal,False,2,1,opposite
USDJPY,2021-11-17,2021-11,top,reversal,False,1,1,opposite
USDJPY,2021-11-23,2021-11,top,continuation,False,2,0,opposite
USDJPY,2022-03-28,2022-03,top,reversal,False,1,1,opposite
USDJPY,2022-04-11,2022-04,top,continuation,False,4,0,opposite
USDJPY,2022-04-19,2022-04,top,reversal,False,6,1,opposite
USDJPY,2022-05-05,2022-05,top,continuation,False,2,0,opposite
USDJPY,2022-05-16,2022-05,top,reversal,False,3,1,opposite
USDJPY,2022-06-10,2022-06,top,continuation,False,1,0,opposite
USDJPY,2022-12-30,2022-12,bottom,continuation,False,2,0,opposite
USDJPY,2024-04-26,2024-04,top,continuation,True,1,0,opposite
USDJPY,2024-05-01,2024-05,top,reversal,False,1,1,opposite
USDJPY,2025-04-21,2025-04,bottom,reversal,False,2,1,opposite
USDCAD,2022-10-18,2022-10,top,reversal,False,4,1,opposite
USDCAD,2024-11-14,2024-11,top,continuation,False,1,0,opposite
USDCAD,2024-11-26,2024-11,top,reversal,False,2,1,opposite
USDCAD,2024-12-09,2024-12,top,continuation,False,4,0,opposite
USDCAD,2024-12-16,2024-12,top,continuation,False,2,0,opposite
USDCAD,2026-06-18,2026-06,top,continuation,False,2,0,opposite
NZDUSD,2022-07-11,2022-07,bottom,continuation,False,4,0,opposite
NZDUSD,2022-09-27,2022-09,bottom,continuation,False,1,0,opposite
NZDUSD,2024-11-14,2024-11,bottom,reversal,False,4,1,opposite
NZDUSD,2024-12-18,2024-12,bottom,continuation,False,1,0,opposite
NZDUSD,2025-11-07,2025-11,bottom,reversal,False,3,1,opposite
NZDUSD,2025-11-19,2025-11,bottom,continuation,False,2,0,opposite
AUDUSD,2021-12-02,2021-12,bottom,continuation,False,2,0,opposite
AUDUSD,2024-11-14,2024-11,bottom,reversal,False,3,1,opposite
AUDUSD,2024-12-11,2024-12,bottom,reversal,False,1,1,opposite
AUDUSD,2024-12-16,2024-12,bottom,continuation,False,3,0,opposite
AUDUSD,2026-01-29,2026-01,top,reversal,False,1,1,opposite
AUDUSD,2026-02-19,2026-02,top,continuation,False,5,0,opposite
USDCHF,2021-04-01,2021-04,top,reversal,False,1,1,opposite
USDCHF,2022-06-15,2022-06,top,reversal,False,1,1,opposite
USDCHF,2022-12-21,2022-12,bottom,reversal,False,9,1,opposite
