pair,date,month,side,outcome,tie,k,y,arm
EURUSD,2020-05-27 20:00:00,2020-05,top,continuation,False,4,0,confirm10
EURUSD,2020-07-15 00:00:00,2020-07,top,continuation,False,1,0,confirm10
EURUSD,2020-07-23 12:00:00,2020-07,top,reversal,False,5,1,confirm10
EURUSD,2020-08-18 20:00:00,2020-08,top,reversal,False,4,1,confirm10
EURUSD,2020-09-01 08:00:00,2020-09,top,reversal,False,1,1,confirm10
EURUSD,2020-09-23 08:00:00,2020-09,bottom,continuation,False,2,0,confirm10
EURUSD,2020-10-29 20:00:00,2020-10,bottom,continuation,True,4,0,confirm10
EURUSD,2020-12-01 00:00:00,2020-12,top,continuation,False,2,0,confirm10
EURUSD,2020-12-31 00:00:00,2020-12,top,reversal,False,3,1,confirm10
EURUSD,2021-01-01 16:00:00,2021-01,top,continuation,False,1,0,confirm10
EURUSD,2021-01-18 12:00:00,2021-01,bottom,reversal,False,4,1,confirm10
EURUSD,2021-02-04 04:00:00,2021-02,bottom,continuation,False,2,0,confirm10
EURUSD,2021-03-05 00:00:00,2021-03,bottom,continuation,False,2,0,confirm10
EURUSD,2021-04-20 16:00:00,2021-04,top,reversal,False,3,1,confirm10
EURUSD,2021-05-10 08:00:00,2021-05,top,reversal,False,3,1,confirm10
EURUSD,2021-05-19 00:00:00,2021-05,top,reversal,False,2,1,confirm10
EURUSD,2021-06-17 12:00:00,2021-06,bottom,continuation,False,6,0,confirm10
EURUSD,2021-07-01 08:00:00,2021-07,bottom,continuation,False,1,0,confirm10
EURUSD,2021-08-10 08:00:00,2021-08,bottom,reversal,False,7,1,confirm10
EURUSD,2021-09-03 04:00:00,2021-09,top,reversal,False,5,1,confirm10
EURUSD,2021-09-29 16:00:00,2021-09,bottom,continuation,False,4,0,confirm10
EURUSD,2021-11-11 08:00:00,2021-11,bottom,continuation,False,3,0,confirm10
EURUSD,2022-01-13 20:00:00,2022-01,top,continuation,False,2,0,confirm10
EURUSD,2022-01-27 04:00:00,2022-01,bottom,continuation,False,1,0,confirm10
EURUSD,2022-02-04 12:00:00,2022-02,top,reversal,False,9,1,confirm10
EURUSD,2022-02-25 12:00:00,2022-02,bottom,continuation,False,2,0,confirm10
EURUSD,2022-04-06 04:00:00,2022-04,bottom,reversal,False,1,1,confirm10
EURUSD,2022-06-13 16:00:00,2022-06,bottom,reversal,False,3,1,confirm10
EURUSD,2022-07-04 00:00:00,2022-07,bottom,continuation,False,6,0,confirm10
EURUSD,2022-09-23 16:00:00,2022-09,bottom,continuation,False,2,0,confirm10
EURUSD,2022-10-26 12:00:00,2022-10,top,reversal,False,6,1,confirm10
EURUSD,2022-12-14 16:00:00,2022-12,top,reversal,False,4,1,confirm10
