pair,date,month,side,outcome,tie,k,y,arm
EURUSD,2020-05-20 21:00:00,2020-05,top,reversal,False,2,1,confirm10
EURUSD,2020-07-22 17:00:00,2020-07,top,reversal,False,6,1,confirm10
EURUSD,2020-08-19 13:00:00,2020-08,top,reversal,False,1,1,confirm10
EURUSD,2020-09-01 05:00:00,2020-09,top,reversal,False,3,1,confirm10
EURUSD,2020-10-30 09:00:00,2020-10,bottom,continuation,False,2,0,confirm10
EURUSD,2020-12-02 17:00:00,2020-12,top,continuation,False,2,0,confirm10
EURUSD,2021-01-19 01:00:00,2021-01,bottom,reversal,False,3,1,confirm10
EURUSD,2021-03-08 05:00:00,2021-03,bottom,continuation,False,2,0,confirm10
EURUSD,2021-04-20 09:00:00,2021-04,top,reversal,False,1,1,confirm10
EURUSD,2021-05-10 13:00:00,2021-05,top,reversal,False,3,1,confirm10
EURUSD,2021-05-19 09:00:00,2021-05,top,reversal,False,1,1,confirm10
EURUSD,2021-06-18 01:00:00,2021-06,bottom,continuation,False,4,0,confirm10
EURUSD,2021-07-01 13:00:00,2021-07,bottom,continuation,False,2,0,confirm10
EURUSD,2021-08-10 17:00:00,2021-08,bottom,reversal,False,6,1,confirm10
EURUSD,2021-09-03 13:00:00,2021-09,top,continuation,False,2,0,confirm10
EURUSD,2021-09-30 01:00:00,2021-09,bottom,continuation,False,3,0,confirm10
EURUSD,2021-10-07 01:00:00,2021-10,bottom,reversal,False,10,1,confirm10
EURUSD,2021-11-11 17:00:00,2021-11,bottom,continuation,False,2,0,confirm10
EURUSD,2022-01-27 17:00:00,2022-01,bottom,continuation,False,1,0,confirm10
EURUSD,2022-02-07 01:00:00,2022-02,top,reversal,False,2,1,confirm10
EURUSD,2022-02-28 09:00:00,2022-02,bottom,reversal,False,1,1,confirm10
EURUSD,2022-04-27 17:00:00,2022-04,bottom,reversal,False,1,1,confirm10
EURUSD,2022-07-04 13:00:00,2022-07,bottom,continuation,False,2,0,confirm10
EURUSD,2022-07-06 01:00:00,2022-07,bottom,continuation,False,3,0,confirm10
EURUSD,2022-08-22 05:00:00,2022-08,bottom,continuation,False,2,0,confirm10
EURUSD,2022-09-26 05:00:00,2022-09,bottom,continuation,False,4,0,confirm10
EURUSD,2022-10-27 13:00:00,2022-10,top,reversal,False,1,1,confirm10
EURUSD,2022-12-15 05:00:00,2022-12,top,reversal,False,2,1,confirm10
EURUSD,2023-03-23 21:00:00,2023-03,top,reversal,False,1,1,confirm10
EURUSD,2023-04-14 09:00:00,2023-04,top,reversal,False,2,1,confirm10
EURUSD,2023-05-15 17:00:00,2023-05,bottom,reversal,False,5,1,confirm10
EURUSD,2023-06-16 05:00:00,2023-06,top,reversal,False,13,1,confirm10
EURUSD,2023-07-13 05:00:00,2023-07,top,continuation,False,2,0,confirm10
EURUSD,2023-09-06 05:00:00,2023-09,bottom,continuation,False,3,0,confirm10
EURUSD,2023-09-26 05:00:00,2023-09,bottom,reversal,False,3,1,confirm10
EURUSD,2023-11-07 05:00:00,2023-11,top,reversal,False,2,1,confirm10
EURUSD,2023-11-15 21:00:00,2023-11,top,continuation,False,5,0,confirm10
EURUSD,2023-12-14 17:00:00,2023-12,top,reversal,False,5,1,confirm10
EURUSD,2023-12-26 13:00:00,2023-12,top,continuation,False,2,0,confirm10
EURUSD,2024-04-01 05:00:00,2024-04,bottom,continuation,False,4,0,confirm10
EURUSD,2024-04-11 05:00:00,2024-04,bottom,continuation,False,3,0,confirm10
EURUSD,2024-05-15 09:00:00,2024-05,top,continuation,False,2,0,confirm10
EURUSD,2024-06-12 05:00:00,2024-06,bottom,reversal,False,3,1,confirm10
EURUSD,2024-07-05 09:00:00,2024-07,top,continuation,False,3,0,confirm10
EURUSD,2024-08-05 21:00:00,2024-08,top,reversal,False,4,1,confirm10
