pair,date,month,side,outcome,tie,k,y,arm
EURUSD,2020-05-29 08:00:00,2020-05,top,continuation,False,2,0,confirm10
EURUSD,2020-07-22 08:00:00,2020-07,top,continuation,False,3,0,confirm10
EURUSD,2020-08-19 12:00:00,2020-08,top,reversal,False,3,1,confirm10
EURUSD,2020-09-01 20:00:00,2020-09,top,reversal,False,1,1,confirm10
EURUSD,2020-10-30 12:00:00,2020-10,bottom,continuation,False,3,0,confirm10
EURUSD,2020-11-09 12:00:00,2020-11,top,reversal,False,3,1,confirm10
EURUSD,2020-12-02 20:00:00,2020-12,top,continuation,False,1,0,confirm10
EURUSD,2021-01-19 00:00:00,2021-01,bottom,reversal,False,4,1,confirm10
EURUSD,2021-02-03 08:00:00,2021-02,bottom,continuation,False,3,0,confirm10
EURUSD,2021-03-08 12:00:00,2021-03,bottom,continuation,False,1,0,confirm10
EURUSD,2021-05-11 00:00:00,2021-05,top,reversal,False,1,1,confirm10
EURUSD,2021-05-18 20:00:00,2021-05,top,continuation,False,4,0,confirm10
EURUSD,2021-06-18 04:00:00,2021-06,bottom,continuation,False,5,0,confirm10
EURUSD,2021-08-10 16:00:00,2021-08,bottom,reversal,False,7,1,confirm10
EURUSD,2021-09-02 00:00:00,2021-09,top,continuation,False,6,0,confirm10
EURUSD,2021-09-30 08:00:00,2021-09,bottom,continuation,False,3,0,confirm10
EURUSD,2021-10-07 00:00:00,2021-10,bottom,reversal,False,4,1,confirm10
EURUSD,2021-11-12 08:00:00,2021-11,bottom,continuation,False,9,0,confirm10
EURUSD,2022-01-14 08:00:00,2022-01,top,continuation,False,2,0,confirm10
EURUSD,2022-01-27 12:00:00,2022-01,bottom,continuation,False,1,0,confirm10
EURUSD,2022-02-07 04:00:00,2022-02,top,reversal,False,2,1,confirm10
EURUSD,2022-03-04 12:00:00,2022-03,bottom,continuation,False,3,0,confirm10
EURUSD,2022-04-06 16:00:00,2022-04,bottom,continuation,False,3,0,confirm10
EURUSD,2022-04-28 00:00:00,2022-04,bottom,continuation,False,2,0,confirm10
EURUSD,2022-07-06 12:00:00,2022-07,bottom,continuation,False,2,0,confirm10
EURUSD,2022-08-12 20:00:00,2022-08,top,reversal,False,1,1,confirm10
EURUSD,2022-08-19 20:00:00,2022-08,bottom,continuation,False,2,0,confirm10
EURUSD,2022-09-26 12:00:00,2022-09,bottom,reversal,False,1,1,confirm10
EURUSD,2022-10-27 04:00:00,2022-10,top,reversal,False,4,1,confirm10
EURUSD,2022-11-11 08:00:00,2022-11,top,continuation,False,2,0,confirm10
EURUSD,2023-03-24 04:00:00,2023-03,top,reversal,False,3,1,confirm10
EURUSD,2023-04-14 08:00:00,2023-04,top,reversal,False,4,1,confirm10
EURUSD,2023-05-15 16:00:00,2023-05,bottom,reversal,False,6,1,confirm10
EURUSD,2023-06-16 08:00:00,2023-06,top,reversal,False,7,1,confirm10
EURUSD,2023-07-13 16:00:00,2023-07,top,continuation,False,2,0,confirm10
EURUSD,2023-08-04 00:00:00,2023-08,bottom,reversal,False,6,1,confirm10
EURUSD,2023-11-07 00:00:00,2023-11,top,reversal,False,2,1,confirm10
EURUSD,2023-11-16 08:00:00,2023-11,top,continuation,False,4,0,confirm10
EURUSD,2023-12-14 20:00:00,2023-12,top,continuation,False,1,0,confirm10
EURUSD,2024-03-08 00:00:00,2024-03,top,reversal,False,10,1,confirm10
EURUSD,2024-04-02 08:00:00,2024-04,bottom,reversal,False,3,1,confirm10
EURUSD,2024-04-12 04:00:00,2024-04,bottom,continuation,False,3,0,confirm10
EURUSD,2024-05-14 08:00:00,2024-05,top,continuation,True,3,0,confirm10
EURUSD,2024-06-12 08:00:00,2024-06,bottom,reversal,False,3,1,confirm10
EURUSD,2024-07-12 00:00:00,2024-07,top,continuation,False,4,0,confirm10
EURUSD,2024-08-06 00:00:00,2024-08,top,reversal,False,4,1,confirm10
EURUSD,2024-08-15 08:00:00,2024-08,top,reversal,False,3,1,confirm10
EURUSD,2024-08-20 12:00:00,2024-08,top,continuation,False,2,0,confirm10
EURUSD,2024-11-07 08:00:00,2024-11,bottom,reversal,False,2,1,confirm10
EURUSD,2024-11-12 16:00:00,2024-11,bottom,continuation,False,2,0,confirm10
EURUSD,2024-11-22 16:00:00,2024-11,bottom,continuation,False,1,0,confirm10
EURUSD,2025-01-14 08:00:00,2025-01,bottom,reversal,False,4,1,confirm10
EURUSD,2025-01-27 12:00:00,2025-01,top,continuation,False,2,0,confirm10
EURUSD,2025-03-06 04:00:00,2025-03,top,continuation,False,5,0,confirm10
EURUSD,2025-04-04 08:00:00,2025-04,top,reversal,False,2,1,confirm10
EURUSD,2025-04-14 12:00:00,2025-04,top,reversal,False,2,1,confirm10
EURUSD,2025-06-13 12:00:00,2025-06,top,reversal,False,2,1,confirm10
EURUSD,2025-07-31 08:00:00,2025-07,bottom,reversal,False,10,1,confirm10
EURUSD,2025-09-17 04:00:00,2025-09,top,reversal,False,4,1,confirm10
EURUSD,2025-10-09 12:00:00,2025-10,bottom,continuation,False,1,0,confirm10
EURUSD,2025-11-04 04:00:00,2025-11,bottom,continuation,False,4,0,confirm10
EURUSD,2025-12-12 16:00:00,2025-12,top,continuation,False,5,0,confirm10
EURUSD,2026-02-23 04:00:00,2026-02,bottom,reversal,False,1,1,confirm10
EURUSD,2026-03-03 16:00:00,2026-03,bottom,continuation,False,1,0,confirm10
EURUSD,2026-03-16 08:00:00,2026-03,bottom,continuation,False,2,0,confirm10
EURUSD,2026-04-10 08:00:00,2026-04,top,continuation,False,4,0,confirm10
EURUSD,2026-04-14 16:00:00,2026-04,top,continuation,False,11,0,confirm10
EURUSD,2026-05-18 00:00:00,2026-05,bottom,reversal,False,5,1,confirm10
EURUSD,2026-06-19 04:00:00,2026-06,bottom,continuation,False,2,0,confirm10
EURUSD,2026-08-03 04:00:00,2026-08,top,reversal,False,3,1,confirm10
EURUSD,2026-08-21 04:00:00,2026-08,top,continuation,False,2,0,confirm10
