pair,date,month,side,outcome,tie,k,y,arm
GBPUSD,2021-02-21 22:00:00,2021-02,top,reversal,False,2,1,coincide
GBPUSD,2021-02-23 22:00:00,2021-02,top,reversal,False,3,1,coincide
GBPUSD,2022-06-15 13:00:00,2022-06,bottom,reversal,False,1,1,coincide
NZDUSD,2021-02-24 22:00:00,2021-02,top,continuation,False,2,0,coincide
AUDUSD,2026-01-27 18:00:00,2026-01,top,reversal,False,1,1,coincide
AUDUSD,2026-01-28 14:00:00,2026-01,top,continuation,False,1,0,coincide
GBPJPY,2024-07-03 05:00:00,2024-07,top,continuation,False,1,0,coincide
AUDJPY,2025-04-07 01:00:00,2025-04,bottom,reversal,False,2,1,coincide
NZDJPY,2025-02-27 22:00:00,2025-02,bottom,reversal,False,2,1,coincide
GBPUSD,2021-02-21 22:00:00,2021-02,top,reversal,False,2,1,coincide_dmatched
GBPUSD,2021-02-23 22:00:00,2021-02,top,reversal,False,3,1,coincide_dmatched
GBPUSD,2022-06-15 13:00:00,2022-06,bottom,reversal,False,1,1,coincide_dmatched
NZDUSD,2021-02-24 22:00:00,2021-02,top,continuation,False,2,0,coincide_dmatched
AUDUSD,2026-01-27 18:00:00,2026-01,top,reversal,False,1,1,coincide_dmatched
AUDUSD,2026-01-28 14:00:00,2026-01,top,continuation,False,1,0,coincide_dmatched
GBPJPY,2024-07-03 05:00:00,2024-07,top,continuation,False,1,0,coincide_dmatched
AUDJPY,2025-04-07 01:00:00,2025-04,bottom,reversal,False,2,1,coincide_dmatched
NZDJPY,2025-02-27 22:00:00,2025-02,bottom,reversal,False,2,1,coincide_dmatched
EURUSD,2021-09-02 17:00:00,2021-09,top,continuation,False,4,0,h4_alone
EURUSD,2022-07-05 05:00:00,2022-07,bottom,continuation,False,2,0,h4_alone
EURUSD,2023-03-22 17:00:00,2023-03,top,continuation,False,2,0,h4_alone
EURUSD,2023-05-18 09:00:00,2023-05,bottom,continuation,False,1,0,h4_alone
EURUSD,2025-06-11 21:00:00,2025-06,top,continuation,False,3,0,h4_alone
EURUSD,2025-12-10 18:00:00,2025-12,top,continuation,False,4,0,h4_alone
EURUSD,2026-04-13 17:00:00,2026-04,top,continuation,False,3,0,h4_alone
EURUSD,2026-04-17 09:00:00,2026-04,top,reversal,False,1,1,h4_alone
EURUSD,2026-08-28 13:00:00,2026-08,bottom,reversal,False,4,1,h4_alone
GBPUSD,2021-02-15 02:00:00,2021-02,top,continuation,False,5,0,h4_alone
GBPUSD,2021-02-19 06:00:00,2021-02,top,continuation,False,1,0,h4_alone
GBPUSD,2021-12-29 22:00:00,2021-12,top,reversal,False,2,1,h4_alone
GBPUSD,2022-06-10 09:00:00,2022-06,bottom,continuation,False,1,0,h4_alone
GBPUSD,2022-06-13 05:00:00,2022-06,bottom,continuation,False,1,0,h4_alone
GBPUSD,2022-07-01 09:00:00,2022-07,bottom,reversal,False,1,1,h4_alone
GBPUSD,2022-07-05 13:00:00,2022-07,bottom,reversal,False,4,1,h4_alone
GBPUSD,2022-07-06 09:00:00,2022-07,bottom,reversal,False,4,1,h4_alone
GBPUSD,2022-08-18 13:00:00,2022-08,bottom,continuation,False,4,0,h4_alone
GBPUSD,2024-03-07 14:00:00,2024-03,top,continuation,False,2,0,h4_alone
GBPUSD,2024-03-08 10:00:00,2024-03,top,reversal,False,5,1,h4_alone
GBPUSD,2024-09-23 17:00:00,2024-09,top,continuation,False,4,0,h4_alone
GBPUSD,2026-07-15 13:00:00,2026-07,top,reversal,False,6,1,h4_alone
USDJPY,2021-11-16 18:00:00,2021-11,top,reversal,False,4,1,h4_alone
USDJPY,2021-11-23 02:00:00,2021-11,top,reversal,False,1,1,h4_alone
USDJPY,2022-01-04 02:00:00,2022-01,top,continuation,False,2,0,h4_alone
USDJPY,2022-03-18 09:00:00,2022-03,top,continuation,False,8,0,h4_alone
USDJPY,2022-03-28 01:00:00,2022-03,top,continuation,False,1,0,h4_alone
USDJPY,2022-04-11 09:00:00,2022-04,top,reversal,False,3,1,h4_alone
USDJPY,2022-04-28 05:00:00,2022-04,top,reversal,False,1,1,h4_alone
USDJPY,2022-06-01 13:00:00,2022-06,top,reversal,False,5,1,h4_alone
USDJPY,2022-06-06 13:00:00,2022-06,top,continuation,False,2,0,h4_alone
USDJPY,2022-06-09 05:00:00,2022-06,top,continuation,False,2,0,h4_alone
USDJPY,2024-11-27 06:00:00,2024-11,bottom,continuation,False,2,0,h4_alone
USDJPY,2024-12-02 10:00:00,2024-12,bottom,continuation,False,1,0,h4_alone
USDJPY,2025-04-21 01:00:00,2025-04,bottom,continuation,False,6,0,h4_alone
USDJPY,2025-05-12 05:00:00,2025-05,top,continuation,False,1,0,h4_alone
USDCAD,2021-03-17 21:00:00,2021-03,bottom,reversal,False,2,1,h4_alone
USDCAD,2021-10-14 05:00:00,2021-10,bottom,continuation,False,2,0,h4_alone
USDCAD,2021-11-22 14:00:00,2021-11,top,continuation,False,4,0,h4_alone
