bucket,n_obs,reversal_rate,baseline,lift,ci_lo,ci_hi,arm
"[0,10)",6007,0.4779424005327118,0.4932987770111529,-0.01535637647844107,-0.023310951787334642,-0.009390102501345613,suppress
"[10,20)",293,0.6245733788395904,0.4726045607544206,0.15196881808516982,0.10749245684089015,0.22043376415753496,suppress
"[20,30)",385,0.5792207792207792,0.48142749400089113,0.09779328521988806,0.012005000539352134,0.18759092966430316,suppress
"[30,40)",64,0.5625,0.4527557946731443,0.10974420532685569,-0.007822011654444818,0.3832983232896097,suppress
"[40,50)",27,0.48148148148148145,0.45110814943600885,0.0303733320454726,-0.23476551667173362,0.34312386067165473,suppress
"[50,60)",10,0.6,0.4312336582260907,0.16876634177390926,-0.2852512868557645,0.5721274726004729,suppress
"[60,100]",8,0.5,0.4328621908127208,0.06713780918727918,-0.22352941176470587,0.6113138686131387,suppress
"[0,10)",5907,0.47570678855595055,0.4939939137799038,-0.01828712522395326,-0.025693080741141724,-0.012623059222748404,off
"[10,20)",329,0.6170212765957447,0.4700419833276817,0.14697929326806297,0.10274231041923268,0.21393653370218776,off
"[20,30)",427,0.5831381733021077,0.4787082326779595,0.10442994062414823,0.03595071364688374,0.17791106518330904,off
"[30,40)",79,0.6075949367088608,0.45295303972573947,0.1546418969831213,0.032817577804428524,0.3852865525242613,off
"[40,50)",32,0.4375,0.4519564233481166,-0.014456423348116587,-0.23054040608441012,0.24390318627450958,off
"[50,60)",11,0.6363636363636364,0.43314849109535397,0.20321514526828238,-0.18063919005290516,0.5747255236492738,off
"[60,100]",9,0.5555555555555556,0.43502159403219476,0.12053396152336082,-0.09281045751633987,0.6113138686131387,off
