bucket,n_obs,reversal_rate,baseline,lift,ci_lo,ci_hi,arm
"[0,10)",1000,0.484,0.4937178217821782,-0.009717821782178226,-0.016386522175602936,-0.00020187631083641748,suppress
"[10,20)",34,0.5,0.48990487284022527,0.01009512715977473,-0.21760272213662044,0.12644334085866343,suppress
"[20,30)",156,0.5448717948717948,0.4860582212067361,0.05881357366505874,-0.004244379062692964,0.2155231560891938,suppress
"[30,40)",12,0.6666666666666666,0.48803630363036304,0.17863036303630359,-0.03931778839306254,0.3990497711823584,suppress
"[40,50)",9,0.3333333333333333,0.4935826916024936,-0.16024935826916026,-0.4936014625228519,-0.0330809178806774,suppress
"[50,60)",1,0.0,0.5016501650165016,-0.5016501650165016,-0.525,-0.4492512479201331,suppress
"[60,100]",0,,,,,,suppress
"[0,10)",924,0.48484848484848486,0.4939493949394939,-0.009100910091009051,-0.025662756147583704,0.005914306602421394,off
"[10,20)",50,0.52,0.4911221122112211,0.028877887788778922,-0.12536627405207862,0.1755370203906035,off
"[20,30)",207,0.5169082125603864,0.48709363689992186,0.029814575660464582,-0.14074918791899926,0.1978838931243568,off
"[30,40)",19,0.631578947368421,0.48827514330380406,0.14330380406461696,0.04454320759368834,0.40802664752690376,off
"[40,50)",11,0.36363636363636365,0.49339933993399343,-0.12976297629762978,-0.4936014625228519,-0.0032320322106226948,off
"[50,60)",1,0.0,0.5016501650165016,-0.5016501650165016,-0.525,-0.4492512479201331,off
"[60,100]",0,,,,,,off
