study,pair,date,side,outcome,tie,k
single pct_b,EURUSD,2026-05-06 16:00:00,top,reversal,False,1
single pct_b,EURUSD,2026-05-13 16:00:00,bottom,continuation,False,7
single pct_b,EURUSD,2026-05-15 08:00:00,bottom,continuation,False,2
single pct_b,EURUSD,2026-05-20 08:00:00,bottom,reversal,False,4
single pct_b,EURUSD,2026-05-28 08:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2026-06-03 20:00:00,bottom,reversal,False,5
single pct_b,EURUSD,2026-06-07 20:00:00,bottom,reversal,False,6
single pct_b,EURUSD,2026-06-12 04:00:00,top,continuation,False,7
single pct_b,EURUSD,2026-06-15 12:00:00,top,reversal,False,4
single pct_b,EURUSD,2026-06-18 04:00:00,bottom,continuation,False,3
single pct_b,EURUSD,2026-06-23 16:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2026-06-24 16:00:00,bottom,continuation,False,1
single pct_b,EURUSD,2026-06-30 00:00:00,top,reversal,False,2
single pct_b,EURUSD,2026-07-02 20:00:00,top,reversal,False,3
single pct_b,EURUSD,2026-07-08 04:00:00,bottom,reversal,False,3
single pct_b,EURUSD,2026-07-14 00:00:00,bottom,reversal,False,5
single pct_b,EURUSD,2026-07-16 00:00:00,top,reversal,False,5
single pct_b,EURUSD,2026-07-23 20:00:00,bottom,reversal,False,5
single pct_b,EURUSD,2026-07-30 04:00:00,top,reversal,False,3
single pct_b,EURUSD,2026-08-06 00:00:00,top,reversal,False,4
single pct_b,EURUSD,2026-08-10 04:00:00,top,reversal,False,5
single pct_b,EURUSD,2026-08-13 00:00:00,bottom,reversal,False,5
single pct_b,EURUSD,2026-08-14 16:00:00,top,continuation,False,2
single pct_b,EURUSD,2026-08-17 08:00:00,top,continuation,False,2
single pct_b,EURUSD,2026-08-19 16:00:00,top,continuation,False,1
single pct_b,EURUSD,2026-08-20 16:00:00,top,reversal,False,1
single pct_b,EURUSD,2026-08-27 16:00:00,bottom,reversal,False,1
single pct_b,EURUSD,2026-08-30 20:00:00,bottom,continuation,True,1
single pct_b,EURUSD,2026-09-03 20:00:00,top,reversal,False,8
single pct_b,EURUSD,2026-09-09 20:00:00,top,reversal,False,1
