study,pair,date,side,outcome,tie,k,bucket
score suppress,EURUSD,2026-04-14 08:00:00,top,timeout,False,20,3
score off,EURUSD,2026-04-14 08:00:00,top,timeout,False,20,3
single pct_b,EURUSD,2026-03-02 16:00:00,bottom,continuation,False,6,3
single pct_b,EURUSD,2026-03-09 04:00:00,bottom,reversal,False,9,2
single pct_b,EURUSD,2026-03-20 04:00:00,top,reversal,False,11,2
single pct_b,EURUSD,2026-03-26 20:00:00,bottom,timeout,False,20,2
single pct_b,EURUSD,2026-04-01 08:00:00,top,reversal,False,18,3
single pct_b,EURUSD,2026-04-08 00:00:00,top,continuation,False,2,2
single pct_b,EURUSD,2026-04-14 04:00:00,top,timeout,False,20,3
single pct_b,EURUSD,2026-04-19 20:00:00,bottom,timeout,False,20,3
single pct_b,EURUSD,2026-04-30 04:00:00,bottom,reversal,False,5,2
single pct_b,EURUSD,2026-05-06 16:00:00,top,timeout,False,20,3
single pct_b,EURUSD,2026-05-13 16:00:00,bottom,timeout,False,20,3
single pct_b,EURUSD,2026-05-20 08:00:00,bottom,reversal,False,18,3
single pct_b,EURUSD,2026-05-28 08:00:00,bottom,reversal,False,12,2
single pct_b,EURUSD,2026-06-03 20:00:00,bottom,continuation,False,13,2
single pct_b,EURUSD,2026-06-12 04:00:00,top,timeout,False,20,2
single pct_b,EURUSD,2026-06-18 04:00:00,bottom,timeout,False,20,3
single pct_b,EURUSD,2026-06-23 16:00:00,bottom,continuation,False,6,3
single pct_b,EURUSD,2026-06-30 00:00:00,top,timeout,False,20,3
single pct_b,EURUSD,2026-07-08 04:00:00,bottom,reversal,False,9,2
single pct_b,EURUSD,2026-07-14 00:00:00,bottom,reversal,False,5,3
single pct_b,EURUSD,2026-07-16 00:00:00,top,timeout,False,20,3
single pct_b,EURUSD,2026-07-23 20:00:00,bottom,timeout,False,20,2
single pct_b,EURUSD,2026-07-30 04:00:00,top,timeout,False,20,3
single pct_b,EURUSD,2026-08-06 00:00:00,top,timeout,False,20,3
single pct_b,EURUSD,2026-08-13 00:00:00,bottom,reversal,False,17,3
single pct_b,EURUSD,2026-08-19 16:00:00,top,continuation,False,1,2
single pct_b,EURUSD,2026-08-27 16:00:00,bottom,continuation,False,8,2
single pct_b,EURUSD,2026-09-03 20:00:00,top,timeout,False,20,3
single pct_b,EURUSD,2026-09-09 20:00:00,top,reversal,False,6,2
single pct_b,EURUSD,2026-09-11 16:00:00,bottom,continuation,False,7,3
single z,EURUSD,2026-03-02 16:00:00,bottom,continuation,False,6,3
single z,EURUSD,2026-03-06 00:00:00,bottom,continuation,False,10,1
single z,EURUSD,2026-04-14 00:00:00,top,continuation,False,6,2
single z,EURUSD,2026-05-15 08:00:00,bottom,timeout,False,20,3
single z,EURUSD,2026-06-18 04:00:00,bottom,timeout,False,20,3
single z,EURUSD,2026-07-16 00:00:00,top,timeout,False,20,3
single z,EURUSD,2026-07-23 20:00:00,bottom,timeout,False,20,2
single z,EURUSD,2026-07-30 20:00:00,top,timeout,False,20,3
single z,EURUSD,2026-08-06 00:00:00,top,timeout,False,20,3
single z,EURUSD,2026-08-19 20:00:00,top,timeout,False,20,3
single z,EURUSD,2026-09-14 16:00:00,bottom,continuation,False,15,3
single stretch,EURUSD,2026-03-02 20:00:00,bottom,continuation,False,6,3
single stretch,EURUSD,2026-03-06 00:00:00,bottom,continuation,False,10,1
single stretch,EURUSD,2026-03-13 04:00:00,bottom,continuation,False,7,3
single stretch,EURUSD,2026-04-14 00:00:00,top,continuation,False,6,2
single stretch,EURUSD,2026-05-15 04:00:00,bottom,timeout,False,20,3
single stretch,EURUSD,2026-06-18 16:00:00,bottom,timeout,False,20,3
single stretch,EURUSD,2026-07-30 20:00:00,top,timeout,False,20,3
single stretch,EURUSD,2026-08-05 04:00:00,top,continuation,False,6,1
single stretch,EURUSD,2026-08-19 16:00:00,top,continuation,False,1,2
single stretch,EURUSD,2026-08-30 20:00:00,bottom,reversal,False,7,3
single stretch,EURUSD,2026-09-14 16:00:00,bottom,continuation,False,15,3
single rsi,EURUSD,2026-03-02 20:00:00,bottom,continuation,False,6,3
single rsi,EURUSD,2026-03-09 08:00:00,bottom,reversal,False,8,3
single rsi,EURUSD,2026-04-14 08:00:00,top,timeout,False,20,3
single rsi,EURUSD,2026-04-23 16:00:00,bottom,timeout,False,20,3
single rsi,EURUSD,2026-04-30 12:00:00,bottom,reversal,False,3,3
single rsi,EURUSD,2026-05-15 04:00:00,bottom,timeout,False,20,3
single rsi,EURUSD,2026-06-18 16:00:00,bottom,timeout,False,20,3
single rsi,EURUSD,2026-07-30 04:00:00,top,timeout,False,20,3
single rsi,EURUSD,2026-08-06 00:00:00,top,timeout,False,20,3
single rsi,EURUSD,2026-08-17 08:00:00,top,continuation,False,15,3
single rsi,EURUSD,2026-08-30 20:00:00,bottom,reversal,False,7,3
single rsi,EURUSD,2026-09-14 16:00:00,bottom,continuation,False,15,3
single div,EURUSD,2026-05-08 16:00:00,top,timeout,False,20,3
single div,EURUSD,2026-05-21 12:00:00,bottom,continuation,False,2,1
single div,EURUSD,2026-05-22 16:00:00,bottom,reversal,False,4,1
