pair,direction,entry,stop,target,planned_rr,realized_R,bars_held,exit_reason
EUR/USD,long,1.13142,1.1301403258811578,1.13815,5.259151451846387,-1.0,6,stop
EUR/USD,long,1.13156,1.1287717473116903,1.13815,2.3634873652700685,2.3634873652700685,16,target
EUR/USD,long,1.17576,1.1748068283056001,1.17965,4.081111538304433,-1.0,21,stop
EUR/USD,long,1.17472,1.1745818715516672,1.17889,30.1892915639803,-1.0,2,stop
EUR/USD,long,1.18627,1.185275898208671,1.19271,6.478209833412897,-1.0,7,stop
EUR/USD,short,1.13963,1.1400558854161715,1.13336,14.722269798206664,-1.0,1,stop
EUR/USD,short,1.14006,1.1418100087682324,1.13609,2.2685600621362636,-1.0,1,stop
EUR/USD,short,1.14257,1.1435438144782415,1.13915,3.5119625723537067,-1.0,4,stop
EUR/USD,short,1.14378,1.144790699034851,1.14068,3.0671840905209704,-1.0,42,stop
EUR/USD,short,1.13925,1.1409366738434374,1.13542,2.270741326132546,-1.0,12,stop
GBP/USD,long,1.3346,1.3325845686580826,1.34025,2.8033701185894846,-1.0,8,stop
GBP/USD,long,1.32721,1.325783209712561,1.33592,6.104611221901483,6.104611221901483,13,target
GBP/USD,long,1.34715,1.3444032927143936,1.35929,4.419837550079408,-1.0,3,stop
GBP/USD,long,1.34931,1.3449054755602068,1.35929,2.265851883993321,2.265851883993321,95,target
GBP/USD,long,1.35593,1.3551580211475514,1.3621,7.992446917980551,-1.0,2,stop
GBP/USD,long,1.36292,1.3626309066407964,1.36818,18.194814348184575,-1.0,3,stop
GBP/USD,short,1.30911,1.311560832134038,1.304,2.085006120586796,-1.0,5,stop
GBP/USD,long,1.33029,1.3283924889576455,1.33835,4.247669615666077,4.247669615666077,21,target
GBP/USD,long,1.33758,1.3357224089766502,1.34436,3.649888438722944,3.649888438722944,21,target
GBP/USD,long,1.34648,1.3445852185880014,1.35347,3.689079888443393,-1.0,5,stop
GBP/USD,long,1.35062,1.3485420106560435,1.3568,2.974028725399315,-1.0,12,stop
GBP/USD,long,1.3434,1.3420103220559845,1.3493,4.2455879978580136,-1.0,3,stop
GBP/USD,long,1.3638,1.3608337422036025,1.37135,2.545294616391716,-1.0,10,stop
GBP/USD,long,1.35175,1.3513738325716642,1.35498,8.586602019983335,-1.0,18,stop
USD/JPY,long,156.27426,156.06101943849418,156.73214,2.1472462685646523,-1.0,1,stop
USD/CHF,short,0.79614002,0.7979551559026902,0.79190999,2.3304205452223403,-1.0,8,stop
USD/CHF,short,0.79623002,0.7980458350149131,0.79190999,2.3791134914735332,-1.0,7,stop
USD/CHF,short,0.79648,0.7987084617095965,0.79190999,2.0507464769620656,-1.0,8,stop
USD/CHF,short,0.80137002,0.8041710269158974,0.79462999,2.4062882393279343,2.4062882393279343,35,target
USD/CHF,short,0.77695,0.7770472992172782,0.7739,31.346603655399072,-1.0,1,stop
