code,date,nc_long,nc_short
090741,2006-01-03,45749,9062
090741,2006-01-10,32628,9311
090741,2006-01-17,39506,12573
090741,2006-01-24,35048,7915
090741,2006-01-31,50705,13221
090741,2006-02-07,56298,11453
090741,2006-02-14,52220,11756
090741,2006-02-21,46710,11513
090741,2006-02-28,54931,14297
090741,2006-03-07,55226,13903
090741,2006-03-14,33979,19958
090741,2006-03-21,18295,22037
090741,2006-03-28,13274,21085
090741,2006-04-04,12081,16227
090741,2006-04-11,24639,10697
090741,2006-04-18,23225,16307
090741,2006-04-25,31949,16326
090741,2006-05-02,48997,16845
090741,2006-05-09,52111,23238
090741,2006-05-16,46060,26532
090741,2006-05-23,36980,21278
090741,2006-05-30,45937,14230
090741,2006-06-06,44443,21581
090741,2006-06-13,46579,13228
090741,2006-06-20,37024,13046
090741,2006-06-27,38165,7856
090741,2006-07-03,42762,6315
090741,2006-07-11,29942,18321
090741,2006-07-18,23302,14018
090741,2006-07-25,23613,29032
090741,2006-08-01,18809,26225
090741,2006-08-08,23185,13355
090741,2006-08-15,27206,18609
090741,2006-08-22,27805,12312
090741,2006-08-29,45977,15372
090741,2006-09-05,49440,21974
090741,2006-09-12,37739,22957
090741,2006-09-19,41043,40188
090741,2006-09-26,38542,32032
090741,2006-10-03,45535,36256
090741,2006-10-10,34272,32413
090741,2006-10-17,26833,51331
090741,2006-10-24,24985,39218
090741,2006-10-31,23818,47496
090741,2006-11-07,24999,45341
090741,2006-11-14,25902,73277
090741,2006-11-21,23236,82129
090741,2006-11-28,26934,67216
090741,2006-12-05,24557,71036
090741,2006-12-12,26173,78181
090741,2006-12-19,27186,84578
090741,2006-12-26,21479,87773
090741,2007-01-03,23583,97851
090741,2007-01-09,20637,105543
090741,2007-01-16,22030,100997
090741,2007-01-23,22471,100328
090741,2007-01-30,21650,92526
090741,2007-02-06,18927,99573
090741,2007-02-13,19930,76625
090741,2007-02-20,17005,82431
090741,2007-02-27,17563,73987
090741,2007-03-06,21585,96510
090741,2007-03-13,15758,89897
090741,2007-03-20,21021,72174
090741,2007-03-27,24613,56595
090741,2007-04-03,22068,57233
090741,2007-04-10,23062,38626
090741,2007-04-17,25549,41540
090741,2007-04-24,39017,40648
090741,2007-05-01,52582,43731
090741,2007-05-08,65117,47298
090741,2007-05-15,82619,39522
090741,2007-05-22,83891,44924
090741,2007-05-29,92150,40130
090741,2007-06-05,85481,41623
090741,2007-06-12,98404,36399
090741,2007-06-19,92321,33525
090741,2007-06-26,82053,13190
090741,2007-07-03,79653,14400
090741,2007-07-10,82889,15511
090741,2007-07-17,85281,18009
090741,2007-07-24,94483,17519
090741,2007-07-31,68138,18440
090741,2007-08-07,71689,19751
090741,2007-08-14,66527,18717
090741,2007-08-21,60044,20011
090741,2007-08-28,68013,22919
090741,2007-09-04,73234,21889
090741,2007-09-11,78149,19395
090741,2007-09-18,88758,8930
090741,2007-09-25,73042,13880
090741,2007-10-02,87538,18359
090741,2007-10-09,99617,16616
090741,2007-10-16,90940,13991
090741,2007-10-23,82625,11302
090741,2007-10-30,79052,10221
090741,2007-11-06,75532,11944
090741,2007-11-13,55876,9153
090741,2007-11-20,41574,9282
090741,2007-11-27,39532,10533
090741,2007-12-04,34194,18870
090741,2007-12-11,30935,12271
090741,2007-12-18,34895,11608
090741,2007-12-24,29959,15236
090741,2007-12-31,35655,12657
090741,2008-01-08,31648,15224
090741,2008-01-15,22866,15101
090741,2008-01-22,24463,16786
090741,2008-01-29,25948,21653
090741,2008-02-05,30603,20363
090741,2008-02-12,43391,22956
090741,2008-02-19,33387,21440
090741,2008-02-26,50323,24139
090741,2008-03-04,60105,23699
090741,2008-03-11,50353,21422
090741,2008-03-18,43416,22517
090741,2008-03-25,28183,26005
090741,2008-04-01,28382,27659
090741,2008-04-08,37519,30955
090741,2008-04-15,33518,28015
090741,2008-04-22,43836,26466
090741,2008-04-29,31816,24388
090741,2008-05-06,48104,16392
090741,2008-05-13,46246,16837
090741,2008-05-20,53118,21700
090741,2008-05-27,69636,19511
090741,2008-06-03,63825,18087
090741,2008-06-10,43276,25697
090741,2008-06-17,36386,37337
090741,2008-06-24,27397,31886
090741,2008-07-01,24732,34522
090741,2008-07-08,30183,36135
090741,2008-07-15,39972,27113
090741,2008-07-22,43572,21683
090741,2008-07-29,29682,31928
090741,2008-08-05,35442,54214
090741,2008-08-12,33650,58979
090741,2008-08-19,38641,66726
090741,2008-08-26,33329,49093
090741,2008-09-02,37205,54779
090741,2008-09-09,36134,46118
090741,2008-09-16,33090,43312
090741,2008-09-23,17090,35743
