date,open,high,low,close
2008-02-13,96.920000,97.250000,96.029999,97.050003
2008-02-14,96.980000,98.150000,96.800000,97.310000
2008-02-15,97.230000,98.370000,96.920000,97.900000
2008-02-18,97.880000,98.900000,97.730000,98.840000
2008-02-19,98.810000,99.590000,98.560000,98.960000
2008-02-20,98.950000,99.470000,98.180000,99.340000
2008-02-21,99.260000,99.560000,98.360000,98.610000
2008-02-22,98.650000,99.130000,98.050003,99.130000
2008-02-25,99.140000,100.260000,98.860000,100.120000
2008-02-26,100.099998,100.470000,99.710000,100.150000
2008-02-27,100.089996,100.450000,99.510000,100.330000
2008-02-28,100.200000,100.530000,99.600000,99.940000
2008-02-29,99.870000,100.029999,96.600000,96.730000
2008-03-03,96.570000,97.580000,95.450000,97.029999
2008-03-04,97.170000,97.440000,94.630000,95.820000
2008-03-05,95.820000,97.230000,95.460000,97.170000
2008-03-06,97.080002,97.390000,94.830000,95.000000
2008-03-07,94.990000,96.089996,94.570000,95.330000
2008-03-10,94.910000,95.300000,93.089996,93.440000
2008-03-11,93.230000,96.170000,92.770000,96.070000
2008-03-12,96.180000,96.310000,94.730000,94.780000
2008-03-13,94.540000,95.680000,93.270000,95.029999
2008-03-14,94.960000,95.400000,92.590000,92.850000
2008-03-17,92.300000,93.550000,88.130000,89.630000
2008-03-18,89.340000,92.810000,88.850000,92.610000
2008-03-19,92.890000,93.640000,89.800000,89.950000
2008-03-20,89.930000,91.000000,88.140000,89.280000
2008-03-21,89.290000,90.029999,89.059998,89.830000
2008-03-24,89.480000,91.580000,89.430000,91.290000
2008-03-25,91.240000,92.040001,90.690000,91.770000
2008-03-26,91.660000,91.840000,90.670000,91.099998
2008-03-27,91.120000,92.480000,90.490000,91.620000
2008-03-28,91.540000,92.580000,90.820000,91.010002
2008-03-31,90.610000,91.740000,90.370000,91.200000
2008-04-01,91.210000,92.520000,90.480000,92.390000
2008-04-02,92.330000,93.970000,92.080002,93.470000
2008-04-03,93.450000,94.420000,92.830000,93.680000
2008-04-04,93.650000,94.350000,93.089996,93.690000
2008-04-07,93.690000,95.360000,93.450000,94.760000
