date,open,high,low,close
2008-02-13,0.903200,0.904700,0.892100,0.896000
2008-02-14,0.895400,0.906800,0.895100,0.901600
2008-02-15,0.901500,0.910000,0.900200,0.908200
2008-02-18,0.907500,0.914200,0.906800,0.913400
2008-02-19,0.913500,0.923900,0.913200,0.918200
2008-02-20,0.918400,0.921400,0.911100,0.919300
2008-02-21,0.918300,0.920900,0.916400,0.918700
2008-02-22,0.918800,0.925200,0.916900,0.924200
2008-02-25,0.923800,0.927500,0.921400,0.926500
2008-02-26,0.926500,0.933400,0.925100,0.933300
2008-02-27,0.933600,0.943500,0.930400,0.942500
2008-02-28,0.941800,0.949900,0.936600,0.948800
2008-02-29,0.948300,0.949300,0.930700,0.931500
2008-03-03,0.932500,0.942200,0.927500,0.939500
2008-03-04,0.939600,0.940900,0.921500,0.927200
2008-03-05,0.927700,0.934500,0.922700,0.933400
2008-03-06,0.933400,0.938500,0.924400,0.925600
2008-03-07,0.925500,0.937700,0.924400,0.927400
2008-03-10,0.926200,0.931400,0.915800,0.917200
2008-03-11,0.916600,0.930200,0.914600,0.930000
2008-03-12,0.929900,0.936900,0.927300,0.931800
2008-03-13,0.933400,0.947400,0.932700,0.946000
2008-03-14,0.945500,0.946800,0.935000,0.937700
2008-03-17,0.936100,0.944800,0.912600,0.921000
2008-03-18,0.918800,0.930900,0.916500,0.928400
2008-03-19,0.929300,0.935600,0.911300,0.912000
2008-03-20,0.912100,0.916900,0.895200,0.899200
2008-03-21,0.899300,0.903100,0.898700,0.902100
2008-03-24,0.900700,0.908500,0.897600,0.906700
2008-03-25,0.907000,0.917800,0.906500,0.917700
2008-03-26,0.917400,0.924300,0.911900,0.920200
2008-03-27,0.920400,0.925400,0.916500,0.918900
2008-03-28,0.918400,0.924500,0.914900,0.917900
2008-03-31,0.916400,0.918300,0.910100,0.912700
2008-04-01,0.913200,0.914900,0.902800,0.907100
2008-04-02,0.907100,0.915800,0.905200,0.914100
2008-04-03,0.914000,0.918100,0.908900,0.916100
2008-04-04,0.915800,0.923700,0.909700,0.923100
2008-04-07,0.921100,0.928400,0.916400,0.924800
2008-04-08,0.924800,0.932100,0.924000,0.930900
2008-04-09,0.930600,0.933700,0.925900,0.929000
2008-04-10,0.928600,0.934700,0.927300,0.932300
2008-04-11,0.931300,0.934900,0.927100,0.927800
2008-04-14,0.925100,0.927400,0.920300,0.927300
2008-04-15,0.926300,0.930900,0.923100,0.926400
2008-04-16,0.926400,0.940100,0.924500,0.939600
2008-04-17,0.939300,0.939600,0.933500,0.936700
2008-04-18,0.935800,0.939700,0.926900,0.933600
2008-04-21,0.933000,0.944500,0.932500,0.942400
2008-04-22,0.942300,0.947500,0.938900,0.944200
2008-04-23,0.944500,0.954200,0.944400,0.948500
2008-04-24,0.947200,0.948400,0.937200,0.939900
2008-04-25,0.939400,0.942300,0.928900,0.933800
2008-04-28,0.933900,0.940500,0.933200,0.938200
2008-04-29,0.938000,0.939500,0.929100,0.933400
2008-04-30,0.932700,0.947300,0.930900,0.942500
2008-05-01,0.943100,0.944400,0.930400,0.933500
2008-05-02,0.932300,0.938500,0.927300,0.936100
2008-05-05,0.935200,0.946900,0.934000,0.946700
2008-05-06,0.946300,0.950800,0.943000,0.949600
2008-05-07,0.949500,0.950600,0.940500,0.941300
2008-05-08,0.941700,0.945800,0.934600,0.944200
2008-05-09,0.943400,0.945900,0.938100,0.942300
2008-05-12,0.941600,0.948000,0.935400,0.947500
2008-05-13,0.947000,0.948600,0.938200,0.939500
2008-05-14,0.939600,0.942700,0.930100,0.934100
2008-05-15,0.933200,0.942400,0.928900,0.939900
2008-05-16,0.939700,0.956000,0.938900,0.955400
2008-05-19,0.956400,0.956600,0.950800,0.953100
2008-05-20,0.952700,0.961900,0.951500,0.958900
2008-05-21,0.958100,0.965500,0.955500,0.963000
2008-05-22,0.962900,0.965200,0.954100,0.957600
2008-05-23,0.956500,0.963800,0.954000,0.959600
2008-05-26,0.959100,0.961900,0.957900,0.960700
2008-05-27,0.960100,0.963700,0.957800,0.958600
2008-05-28,0.958700,0.963000,0.955600,0.962700
2008-05-29,0.962200,0.964600,0.953400,0.955600
2008-05-30,0.955000,0.958100,0.951000,0.955900
2008-06-02,0.954500,0.956900,0.949600,0.955500
2008-06-03,0.955300,0.961500,0.950600,0.952300
2008-06-04,0.951000,0.963100,0.948400,0.956700
2008-06-05,0.956000,0.959400,0.950900,0.958800
2008-06-06,0.957800,0.964400,0.956200,0.962700
2008-06-09,0.961800,0.964900,0.948000,0.949100
2008-06-10,0.948700,0.952600,0.943800,0.945300
2008-06-11,0.945000,0.949400,0.942500,0.946800
2008-06-12,0.947400,0.948900,0.932500,0.934800
2008-06-13,0.935900,0.941300,0.933200,0.939500
2008-06-16,0.939400,0.942600,0.935900,0.940000
2008-06-17,0.940100,0.945600,0.938700,0.943800
2008-06-18,0.943500,0.947500,0.940000,0.947000
2008-06-19,0.946100,0.951900,0.944500,0.950600
2008-06-20,0.949700,0.956800,0.948800,0.953900
2008-06-23,0.953100,0.956200,0.949100,0.952600
2008-06-24,0.951600,0.958800,0.949700,0.956000
2008-06-25,0.955600,0.960200,0.953000,0.959700
2008-06-26,0.959000,0.961000,0.954900,0.956700
2008-06-27,0.955700,0.963500,0.954000,0.960900
2008-06-30,0.960800,0.966800,0.954900,0.957900
2008-07-01,0.958100,0.959600,0.951000,0.955300
2008-07-02,0.955000,0.965100,0.953100,0.961600
2008-07-03,0.962200,0.963400,0.958000,0.960100
2008-07-04,0.959600,0.964200,0.958900,0.963300
2008-07-07,0.962400,0.963500,0.951400,0.956100
2008-07-08,0.954500,0.956400,0.950000,0.953600
2008-07-09,0.953100,0.959200,0.947400,0.955800
2008-07-10,0.955600,0.964200,0.954200,0.962100
2008-07-11,0.961300,0.972000,0.958600,0.967200
2008-07-14,0.970600,0.973700,0.966100,0.971800
2008-07-15,0.971400,0.985000,0.970600,0.978800
2008-07-16,0.978600,0.981700,0.972600,0.974400
2008-07-17,0.973900,0.979200,0.967500,0.972400
2008-07-18,0.972900,0.974000,0.969600,0.970800
2008-07-21,0.971900,0.977300,0.970300,0.977000
2008-07-22,0.976900,0.979300,0.968400,0.971200
2008-07-23,0.971500,0.973800,0.959800,0.960900
2008-07-24,0.960400,0.963800,0.953600,0.959100
2008-07-25,0.958400,0.960900,0.954300,0.956400
2008-07-28,0.955400,0.959700,0.952500,0.957400
2008-07-29,0.956900,0.959200,0.949600,0.952600
2008-07-30,0.952100,0.952700,0.941000,0.944100
2008-07-31,0.944300,0.947700,0.939500,0.941800
2008-08-01,0.941200,0.941800,0.928300,0.929200
2008-08-04,0.929600,0.934700,0.928400,0.929100
2008-08-05,0.929000,0.930000,0.913000,0.916300
2008-08-06,0.915600,0.920700,0.906300,0.909300
2008-08-07,0.909200,0.913100,0.904800,0.906400
2008-08-08,0.905100,0.907600,0.886400,0.888700
2008-08-11,0.885400,0.895400,0.879200,0.883700
2008-08-12,0.882700,0.884600,0.870100,0.871900
2008-08-13,0.870400,0.877200,0.858900,0.874300
2008-08-14,0.874600,0.879800,0.866600,0.870600
2008-08-15,0.869500,0.870800,0.860600,0.866200
2008-08-18,0.866400,0.875900,0.865000,0.868800
2008-08-19,0.868300,0.873400,0.862400,0.872400
2008-08-20,0.872200,0.874500,0.867100,0.873500
2008-08-21,0.872600,0.881500,0.864800,0.880600
2008-08-22,0.879100,0.880700,0.864700,0.865000
2008-08-25,0.867200,0.869000,0.861200,0.863200
2008-08-26,0.863600,0.864800,0.849200,0.855100
2008-08-27,0.854400,0.863900,0.852900,0.858400
2008-08-28,0.857600,0.869500,0.857300,0.863400
2008-08-29,0.862800,0.866100,0.855300,0.858200
2008-09-01,0.856300,0.858200,0.847900,0.849700
2008-09-02,0.849800,0.853400,0.826800,0.837500
2008-09-03,0.837000,0.840400,0.823100,0.835400
2008-09-04,0.834900,0.839700,0.813100,0.815000
2008-09-05,0.815600,0.822500,0.802700,0.816200
2008-09-08,0.832100,0.835500,0.807300,0.815100
2008-09-09,0.815400,0.817800,0.799000,0.801400
2008-09-10,0.799400,0.813100,0.795100,0.795500
2008-09-11,0.796500,0.809900,0.789800,0.808500
2008-09-12,0.808000,0.824300,0.800500,0.823600
2008-09-15,0.819400,0.826500,0.800900,0.806500
2008-09-16,0.804800,0.806000,0.785100,0.794500
2008-09-17,0.794000,0.807600,0.780000,0.786300
2008-09-18,0.784500,0.809700,0.784500,0.802100
2008-09-19,0.803500,0.836200,0.800800,0.833900
2008-09-22,0.837300,0.852100,0.828100,0.844100
2008-09-23,0.843200,0.847000,0.827600,0.830700
2008-09-24,0.830900,0.842800,0.830900,0.833000
2008-09-25,0.833000,0.842700,0.831700,0.835200
2008-09-26,0.834100,0.838300,0.823800,0.831200
2008-09-29,0.827300,0.833200,0.800000,0.802600
2008-09-30,0.800100,0.809600,0.786500,0.794400
2008-10-01,0.794700,0.802100,0.785500,0.788300
2008-10-02,0.790800,0.794500,0.769700,0.772200
2008-10-03,0.773200,0.782100,0.771000,0.774100
2008-10-06,0.772700,0.773200,0.700900,0.720200
2008-10-07,0.712600,0.735800,0.702400,0.711700
2008-10-08,0.715200,0.715900,0.643600,0.663800
2008-10-09,0.669500,0.713300,0.664300,0.683200
2008-10-10,0.684600,0.688400,0.632800,0.643200
2008-10-13,0.673200,0.700100,0.654400,0.698400
2008-10-14,0.696800,0.724200,0.693400,0.700100
2008-10-15,0.699800,0.707700,0.650800,0.651300
2008-10-16,0.653500,0.694300,0.651800,0.693100
2008-10-17,0.688000,0.701100,0.672800,0.688900
2008-10-20,0.690400,0.706600,0.688400,0.705600
2008-10-21,0.703300,0.704300,0.670300,0.671900
2008-10-22,0.677500,0.682600,0.662800,0.673100
2008-10-23,0.671600,0.675300,0.652500,0.672700
2008-10-24,0.674500,0.675300,0.605500,0.623400
2008-10-27,0.615000,0.624800,0.600400,0.602000
2008-10-28,0.601900,0.648700,0.601100,0.646200
2008-10-29,0.648600,0.679700,0.633600,0.666200
2008-10-30,0.667100,0.689300,0.661500,0.679200
