date,open,high,low,close
2008-02-13,107.099998,108.690000,106.820000,108.640000
2008-02-14,108.590000,108.960000,107.750000,107.900000
2008-02-15,107.800000,109.000000,106.390000,106.990000
2008-02-18,106.830000,107.600000,106.710000,107.470000
2008-02-19,107.310000,107.540000,105.630000,105.970000
2008-02-20,105.860000,106.870000,105.720000,106.780000
2008-02-21,106.770000,107.300000,105.810000,106.150000
2008-02-22,106.170000,106.380000,104.970000,105.960000
2008-02-25,105.960000,108.610000,105.740000,108.550000
2008-02-26,108.500000,109.650000,108.010002,109.130000
2008-02-27,109.150000,109.530000,108.019997,108.540000
2008-02-28,108.430000,109.029999,107.700000,107.970000
2008-02-29,107.950000,108.070000,105.340000,105.510000
2008-03-03,105.080002,105.140000,103.680000,104.330000
2008-03-04,104.410000,104.780000,103.010002,103.970000
2008-03-05,103.970000,105.660000,103.770000,105.610000
2008-03-06,105.640000,105.720000,103.840000,104.010002
2008-03-07,104.160000,104.760000,103.180000,103.810000
2008-03-10,103.620000,103.730000,101.760000,102.099998
2008-03-11,102.029999,104.350000,101.740000,104.260000
2008-03-12,104.270000,104.760000,102.510000,102.590000
2008-03-13,102.320000,103.040001,100.860000,102.260000
2008-03-14,102.240000,102.580000,99.910000,100.160000
2008-03-17,99.790000,100.440000,96.330000,97.710000
2008-03-18,97.360000,100.690000,97.200000,100.600000
2008-03-19,100.730000,101.390000,97.089996,97.170000
2008-03-20,97.190000,97.950000,95.650000,97.059998
2008-03-21,96.900000,97.520000,96.740000,97.330000
2008-03-24,96.850000,99.180000,96.770000,99.010002
2008-03-25,98.900000,99.370000,97.460000,98.410000
2008-03-26,98.140000,98.520000,97.110000,97.250000
2008-03-27,97.190000,98.780000,96.870000,97.980000
2008-03-28,97.860000,98.710000,96.900000,96.950000
2008-03-31,96.700000,97.910000,96.560000,97.340000
2008-04-01,97.310000,99.880000,97.040001,99.630000
2008-04-02,99.510000,101.120000,99.160000,100.770000
2008-04-03,100.760000,102.070000,100.570000,101.900000
2008-04-04,101.750000,102.270000,100.440000,100.700000
2008-04-07,100.790000,102.290000,100.480000,100.930000
2008-04-08,101.120000,101.200000,101.099998,101.150000
2008-04-09,101.120000,101.400000,99.600000,99.890000
2008-04-10,99.760000,100.360000,98.089996,99.800000
2008-04-11,99.720000,100.600000,98.330000,98.660000
2008-04-14,98.580000,99.340000,97.870000,99.260000
2008-04-15,99.170000,100.140000,98.440000,100.089996
2008-04-16,100.019997,101.850000,99.740000,101.760000
2008-04-17,101.650000,102.610000,100.790000,101.550000
2008-04-18,101.430000,103.910000,101.260000,103.220000
2008-04-21,103.200000,103.580000,102.150000,102.720000
2008-04-22,102.580000,102.790000,101.770000,102.220000
2008-04-23,102.059998,102.550000,100.870000,101.610000
2008-04-24,101.660000,103.089996,101.390000,102.740000
2008-04-25,102.790000,103.029999,102.220000,103.000000
2008-04-28,103.019997,103.940000,102.480000,102.790000
2008-04-29,102.780000,103.150000,101.740000,102.710000
2008-04-30,102.630000,104.120000,102.260000,103.150000
2008-05-01,103.280000,103.380000,101.550000,102.330000
2008-05-02,102.350000,103.760000,102.310000,103.380000
2008-05-05,103.200000,103.930000,103.150000,103.570000
2008-05-06,103.610000,104.790000,102.710000,104.460000
2008-05-07,104.460000,105.400000,103.510000,103.670000
2008-05-08,103.690000,103.930000,101.780000,101.900000
2008-05-09,101.950000,102.860000,101.570000,102.310000
2008-05-12,102.280000,103.590000,101.870000,103.240000
2008-05-13,103.220000,104.590000,102.610000,104.350000
2008-05-14,104.260000,105.610000,104.029999,104.770000
2008-05-15,104.740000,105.019997,104.330000,104.740000
2008-05-16,104.670000,105.320000,103.730000,104.130000
2008-05-19,103.980000,105.640000,103.940000,105.210000
2008-05-20,105.140000,105.310000,104.110000,104.400000
2008-05-21,104.440000,105.200000,104.040001,104.710000
2008-05-22,104.730000,105.910000,104.400000,105.760000
2008-05-23,105.670000,105.800000,104.190000,104.410000
2008-05-26,104.450000,104.710000,104.080002,104.280000
2008-05-27,104.130000,105.380000,104.120000,104.840000
2008-05-28,104.870000,105.920000,104.470000,105.720000
2008-05-29,105.780000,107.130000,105.610000,106.790000
2008-05-30,106.700000,106.890000,105.830000,106.220000
