date,open,high,low,close
2007-10-29,1.440800,1.443610,1.437900,1.441790
2007-10-30,1.441690,1.444400,1.437790,1.444000
2007-10-31,1.444000,1.449800,1.442610,1.447200
2007-11-01,1.447010,1.447600,1.440800,1.442710
2007-11-02,1.442790,1.452390,1.442610,1.448790
2007-11-05,1.450600,1.451210,1.445110,1.447810
2007-11-06,1.447890,1.457000,1.447200,1.456410
2007-11-07,1.456090,1.472300,1.455710,1.462390
2007-11-08,1.462500,1.470090,1.462500,1.468110
2007-11-09,1.468110,1.474990,1.464710,1.467500
2007-11-12,1.466000,1.466400,1.452390,1.452390
2007-11-13,1.452600,1.463100,1.452390,1.462100
2007-11-14,1.461900,1.472000,1.461710,1.465010
2007-11-15,1.465310,1.470090,1.461090,1.462100
2007-11-16,1.462100,1.467010,1.458810,1.463400
2007-11-19,1.467200,1.468990,1.462390,1.466900
2007-11-20,1.466790,1.484890,1.463810,1.483310
2007-11-21,1.483200,1.486900,1.478390,1.485800
2007-11-22,1.485710,1.487410,1.482490,1.485600
2007-11-23,1.485510,1.495710,1.478810,1.480100
2007-11-27,1.487610,1.490490,1.481200,1.483790
2007-11-28,1.483790,1.485800,1.471500,1.484100
2007-11-29,1.484300,1.484410,1.472600,1.475990
2007-11-30,1.475910,1.478390,1.462990,1.469590
2007-12-03,1.466190,1.470390,1.462610,1.467010
2007-12-04,1.467090,1.476910,1.463810,1.476600
2007-12-05,1.476410,1.477100,1.459790,1.459900
2007-12-06,1.460200,1.465910,1.454100,1.465910
2007-12-07,1.465700,1.466790,1.460410,1.465610
2007-12-10,1.465500,1.473490,1.464190,1.470890
2007-12-11,1.471190,1.474990,1.464600,1.466490
2007-12-12,1.466300,1.473990,1.465310,1.471610
2007-12-13,1.471410,1.473300,1.458700,1.462990
2007-12-14,1.462610,1.465610,1.441500,1.443710
2007-12-17,1.442000,1.445110,1.433610,1.441300
2007-12-19,1.442000,1.442400,1.434000,1.438390
2007-12-20,1.438390,1.439100,1.431700,1.433300
2007-12-21,1.433300,1.440900,1.433200,1.438810
2007-12-24,1.438210,1.441400,1.437790,1.439700
2007-12-25,1.439590,1.441610,1.439100,1.439590
2007-12-26,1.439800,1.450600,1.439410,1.448790
2007-12-27,1.448790,1.464000,1.447200,1.461390
2007-12-28,1.461390,1.472990,1.459600,1.471800
2007-12-31,1.473710,1.474990,1.457300,1.460110
2008-01-01,1.460110,1.462990,1.458190,1.462010
2008-01-02,1.462310,1.474300,1.460110,1.471690
2008-01-03,1.471690,1.477890,1.469400,1.474490
2008-01-04,1.474710,1.481810,1.469900,1.475490
2008-01-07,1.475210,1.475210,1.466710,1.468300
2008-01-08,1.559210,1.559280,1.552990,1.557100
2008-01-09,1.470700,1.473990,1.464300,1.466400
2008-01-10,1.466300,1.481200,1.465200,1.480100
2008-01-11,1.480210,1.481590,1.476600,1.479010
2008-01-14,1.480800,1.491200,1.480100,1.486900
2008-01-15,1.486900,1.492000,1.477890,1.480210
2008-01-16,1.480210,1.485910,1.461090,1.466400
2008-01-17,1.465910,1.470500,1.459600,1.464000
2008-01-18,1.464190,1.468990,1.460200,1.461800
