date,open,high,low,close
2007-11-30,2.062919,2.069793,2.054021,2.056682
2007-12-03,2.057401,2.067996,2.053304,2.063898
2007-12-04,2.064196,2.067183,2.056386,2.058799
2007-12-05,2.058079,2.058079,2.024988,2.027287
2007-12-06,2.027616,2.031199,2.019712,2.028398
2007-12-07,2.028398,2.034381,2.022899,2.031818
2007-12-10,2.033595,2.048383,2.031405,2.044990
2007-12-11,2.044614,2.051492,2.033388,2.035789
2007-12-12,2.035706,2.053894,2.035416,2.045492
2007-12-13,2.045115,2.048215,2.035085,2.042817
2007-12-14,2.042400,2.044405,2.015113,2.020120
2007-12-17,2.016414,2.022817,2.010697,2.021386
2007-12-20,1.987990,1.990800,1.981410,1.983890
2007-12-21,1.983890,1.989420,1.981220,1.983300
2007-12-24,1.984010,1.984280,1.976090,1.978510
2007-12-25,1.978400,1.984480,1.970090,1.977420
2007-12-26,1.977500,1.984720,1.977500,1.984210
2007-12-27,1.984280,1.996610,1.984210,1.995010
2007-12-28,1.995090,2.002203,1.991000,1.993300
2007-12-31,1.998200,2.010010,1.982080,1.986610
2008-01-01,1.985510,1.989810,1.978980,1.987720
2008-01-02,1.987280,1.988980,1.978510,1.981810
2008-01-03,1.981890,1.984010,1.970990,1.974100
2008-01-04,1.974220,1.984600,1.968190,1.975820
2008-01-07,1.972000,1.975580,1.966180,1.966990
2008-01-08,1.967110,1.982510,1.967110,1.971800
2008-01-09,1.971880,1.976400,1.955910,1.957480
2008-01-10,1.957600,1.965410,1.954690,1.961590
2008-01-11,1.962020,1.963400,1.949200,1.959400
2008-01-14,1.959520,1.964910,1.953010,1.954380
2008-01-15,1.954380,1.974220,1.954190,1.958290
2008-01-16,1.957600,1.971490,1.954380,1.962900
2008-01-17,1.962590,1.970290,1.961210,1.968390
2008-01-23,1.951600,1.959210,1.950120,1.956990
2008-01-24,1.956720,1.978200,1.950920,1.978200
2008-01-25,1.977690,1.984800,1.975310,1.980590
2008-01-28,1.986100,1.988980,1.973400,1.984910
2008-01-29,1.985390,1.992980,1.981890,1.989300
2008-01-30,1.989420,1.994420,1.983100,1.983620
2008-01-31,1.984010,1.994300,1.983620,1.990600
2008-02-01,1.990490,1.993700,1.964790,1.966490
2008-02-04,1.965410,1.978710,1.965410,1.974800
2008-02-05,1.975110,1.975580,1.961280,1.964790
2008-02-06,1.964790,1.966410,1.956110,1.960780
2008-02-07,1.960900,1.962090,1.939790,1.942800
2008-02-08,1.942390,1.950190,1.941110,1.947120
2008-02-11,1.946890,1.952510,1.941410,1.949890
2008-02-12,1.949580,1.963020,1.945410,1.960210
2008-02-13,1.959020,1.966610,1.955420,1.962210
2008-02-14,1.962280,1.973590,1.961900,1.969780
2008-02-15,1.969590,1.972000,1.958520,1.961400
2008-02-18,1.958600,1.963900,1.948220,1.950800
2008-02-19,1.950190,1.954190,1.945790,1.948220
2008-02-20,1.948220,1.950190,1.936780,1.942500
2008-02-21,1.942390,1.964210,1.941600,1.963790
2008-02-22,1.963590,1.970720,1.961400,1.966920
2008-02-25,1.968890,1.970090,1.962280,1.966610
2008-02-26,1.966610,1.989300,1.964980,1.987280
2008-02-27,1.986810,1.997280,1.979410,1.983180
2008-02-28,1.983180,1.994810,1.977180,1.989890
2008-02-29,1.989420,1.991790,1.979410,1.986610
2008-03-03,1.984400,1.992980,1.981690,1.983890
2008-03-04,1.984010,1.988780,1.982400,1.985580
2008-03-05,1.985580,1.996490,1.972580,1.991790
2008-03-06,1.991520,2.013207,1.989810,2.012113
2008-03-07,2.011910,2.020202,2.010212,2.014018
2008-03-10,2.019386,2.021509,2.005415,2.008395
2008-03-11,2.008516,2.019916,2.000480,2.006018
2008-03-12,2.006219,2.028110,2.006219,2.027000
2008-03-13,2.027000,2.038611,2.025686,2.032520
2008-03-14,2.031694,2.039318,2.018693,2.019998
2008-03-17,2.019101,2.021918,1.994810,1.997280
2008-03-18,1.997400,2.027205,1.997400,2.009485
2008-03-19,2.008597,2.014910,1.980900,1.983690
2008-03-20,1.984600,1.988110,1.975500,1.984800
2008-03-21,1.984720,1.986100,1.981610,1.983300
2008-03-24,1.979300,1.988590,1.976210,1.987790
2008-03-25,1.987990,2.006783,1.986610,2.002603
2008-03-26,2.002403,2.010899,1.993380,2.007387
2008-03-27,2.007387,2.019019,2.002804,2.006783
2008-03-28,2.007105,2.009081,1.989420,1.994890
2008-03-31,1.993380,1.998200,1.981810,1.984210
2008-04-02,1.978000,1.990090,1.975890,1.987790
2008-04-03,1.987720,1.997400,1.977610,1.994890
2008-04-04,1.994890,2.003205,1.991600,1.994610
2008-04-07,1.993180,1.993580,1.984210,1.988190
2008-04-08,1.988190,1.992590,1.966410,1.966410
2008-04-09,1.966410,1.978790,1.965410,1.973980
2008-04-10,1.973980,1.983690,1.970990,1.971610
2008-04-11,1.971610,1.982320,1.969010,1.982320
2008-04-14,1.967610,1.988780,1.966410,1.976210
2008-04-15,1.975580,1.975820,1.960400,1.961590
2008-04-16,1.961520,1.979880,1.961210,1.971410
2008-04-17,1.971410,1.992590,1.970090,1.990210
2008-04-18,1.990800,1.999680,1.988390,1.998080
2008-04-21,1.999960,2.002283,1.978200,1.980900
2008-04-22,1.980710,1.999600,1.975150,1.996370
2008-04-23,1.996410,1.997280,1.977810,1.978400
2008-04-24,1.978590,1.981410,1.969710,1.972700
2008-04-25,1.972740,1.988590,1.968190,1.983300
2008-04-28,1.982480,1.996130,1.978900,1.991120
2008-04-29,1.991120,1.991480,1.967610,1.967610
2008-04-30,1.967810,1.989500,1.963360,1.987790
2008-05-02,1.978710,1.989730,1.971100,1.971490
2008-05-05,1.973400,1.978510,1.966410,1.972930
2008-05-06,1.973550,1.977180,1.964210,1.973360
2008-05-07,1.973360,1.973360,1.951110,1.952710
2008-05-08,1.952900,1.961170,1.950690,1.955720
2008-05-09,1.955840,1.957100,1.946510,1.954380
2008-05-12,1.951180,1.963020,1.945180,1.955610
2008-05-13,1.955490,1.957600,1.942990,1.946400
2008-05-14,1.946400,1.947460,1.938100,1.946590
2008-05-15,1.946510,1.949810,1.940990,1.947610
2008-05-16,1.947530,1.959480,1.944810,1.956720
2008-05-19,1.956790,1.962020,1.945830,1.949580
2008-05-20,1.949510,1.971800,1.948480,1.968000
2008-05-21,1.967570,1.973280,1.962820,1.971410
2008-05-22,1.971410,1.984990,1.969900,1.980590
2008-05-23,1.980590,1.984600,1.976400,1.982320
2008-05-26,1.980200,1.983180,1.976600,1.982080
2008-05-27,1.981810,1.984600,1.972500,1.976010
2008-05-28,1.976010,1.982710,1.972000,1.980980
2008-05-29,1.980980,1.982000,1.969010,1.976210
2008-05-30,1.975310,1.982790,1.969010,1.982790
2008-06-02,1.974610,1.976280,1.960280,1.965910
2008-06-03,1.965910,1.973590,1.961210,1.962520
2008-06-04,1.962520,1.963940,1.953200,1.953890
2008-06-05,1.954000,1.959630,1.946810,1.957790
2008-06-06,1.957870,1.973400,1.954190,1.970020
2008-06-09,1.971300,1.980000,1.967380,1.974220
