date,open,high,low,close
2008-02-13,0.790900,0.791200,0.781000,0.784000
2008-02-14,0.783600,0.792000,0.783000,0.788300
2008-02-15,0.787200,0.791800,0.783800,0.790800
2008-02-18,0.790300,0.795700,0.788200,0.794700
2008-02-19,0.794700,0.802400,0.794000,0.797100
2008-02-20,0.797200,0.799100,0.789900,0.798200
2008-02-21,0.797300,0.802000,0.796800,0.800100
2008-02-22,0.799900,0.810000,0.798400,0.809200
2008-02-25,0.807300,0.812100,0.805500,0.811100
2008-02-26,0.811400,0.816300,0.806200,0.815100
2008-02-27,0.816200,0.821800,0.812200,0.816500
2008-02-28,0.816000,0.818300,0.810300,0.815800
2008-02-29,0.814500,0.817200,0.796800,0.798900
2008-03-03,0.799300,0.808300,0.792000,0.806800
2008-03-04,0.806400,0.808100,0.795400,0.801100
2008-03-05,0.800200,0.803900,0.792000,0.802300
2008-03-06,0.802000,0.805200,0.794800,0.796500
2008-03-07,0.796300,0.801500,0.790300,0.794200
2008-03-10,0.791800,0.796300,0.787200,0.788800
2008-03-11,0.789500,0.805700,0.787100,0.804500
2008-03-12,0.803600,0.809400,0.799300,0.804000
2008-03-13,0.806300,0.818700,0.800800,0.817200
2008-03-14,0.817200,0.821600,0.811100,0.813500
2008-03-17,0.810700,0.820200,0.791800,0.800400
2008-03-18,0.798900,0.811900,0.797300,0.810100
2008-03-19,0.810800,0.817900,0.796700,0.798000
2008-03-20,0.798300,0.804900,0.786200,0.791400
2008-03-21,0.792100,0.795900,0.788900,0.791700
2008-03-24,0.790800,0.800000,0.787900,0.798300
2008-03-25,0.798200,0.808400,0.797300,0.806500
2008-03-26,0.806500,0.810600,0.798400,0.805200
2008-03-27,0.805500,0.806800,0.799600,0.802700
2008-03-28,0.803800,0.806900,0.793600,0.795700
2008-03-31,0.795300,0.795800,0.784100,0.785100
2008-04-01,0.785100,0.788300,0.777800,0.786600
2008-04-02,0.786800,0.792900,0.783800,0.789700
2008-04-03,0.789200,0.791500,0.780500,0.784100
2008-04-04,0.785100,0.790600,0.781000,0.789000
2008-04-07,0.788500,0.799000,0.786300,0.794400
2008-04-08,0.794600,0.800200,0.791400,0.799400
2008-04-09,0.799100,0.800700,0.792800,0.798000
2008-04-10,0.797700,0.802700,0.795700,0.798900
2008-04-11,0.798000,0.801200,0.792100,0.793000
2008-04-14,0.788500,0.792700,0.784900,0.791700
2008-04-15,0.791900,0.794700,0.782300,0.786900
2008-04-16,0.786200,0.792900,0.782700,0.792400
2008-04-17,0.792400,0.793300,0.784800,0.790000
2008-04-18,0.789500,0.794400,0.784700,0.790300
2008-04-21,0.790500,0.797300,0.789000,0.794000
2008-04-22,0.793600,0.798800,0.789800,0.796700
2008-04-23,0.796800,0.804000,0.793700,0.794400
2008-04-24,0.793000,0.795600,0.785800,0.787400
2008-04-25,0.786900,0.788700,0.777900,0.781000
2008-04-28,0.782900,0.788300,0.781800,0.785200
2008-04-29,0.784200,0.786200,0.772300,0.775100
2008-04-30,0.774800,0.785600,0.772200,0.781300
2008-05-01,0.781400,0.784200,0.773600,0.777500
2008-05-02,0.776900,0.784400,0.775100,0.780600
2008-05-05,0.780400,0.786500,0.778600,0.784600
2008-05-06,0.784400,0.793700,0.783900,0.789700
2008-05-07,0.789700,0.791900,0.780700,0.781700
2008-05-08,0.781500,0.782900,0.768700,0.772500
2008-05-09,0.771800,0.775000,0.764600,0.769300
2008-05-12,0.767500,0.772900,0.762500,0.771000
2008-05-13,0.770900,0.771500,0.763100,0.763700
2008-05-14,0.763500,0.764400,0.758800,0.760700
2008-05-15,0.760900,0.764400,0.753400,0.763000
2008-05-16,0.762200,0.774700,0.761500,0.774200
2008-05-19,0.774400,0.777600,0.770200,0.772600
2008-05-20,0.771800,0.777500,0.770900,0.774800
2008-05-21,0.774200,0.781000,0.772200,0.777500
2008-05-22,0.777600,0.789700,0.775700,0.783400
2008-05-23,0.783000,0.790200,0.782000,0.784600
2008-05-26,0.784900,0.788200,0.782300,0.786800
2008-05-27,0.786300,0.792300,0.784900,0.789000
2008-05-28,0.789200,0.790500,0.782800,0.786300
2008-05-29,0.785700,0.787100,0.776400,0.779200
2008-05-30,0.778900,0.785100,0.778200,0.783000
2008-06-02,0.782500,0.787200,0.781500,0.785400
2008-06-03,0.784800,0.789300,0.779800,0.780400
2008-06-04,0.780100,0.784600,0.768300,0.770200
2008-06-05,0.769600,0.770700,0.761000,0.766900
2008-06-06,0.765700,0.770400,0.764200,0.767600
2008-06-09,0.768400,0.770800,0.756900,0.758400
2008-06-10,0.757600,0.760700,0.749800,0.752300
2008-06-11,0.752000,0.758100,0.751600,0.755900
2008-06-12,0.756000,0.757200,0.747600,0.750700
2008-06-13,0.750600,0.752500,0.744300,0.750200
2008-06-16,0.751300,0.754400,0.748100,0.752800
2008-06-17,0.752600,0.757600,0.750800,0.755500
2008-06-18,0.755100,0.759900,0.753000,0.758700
2008-06-19,0.758500,0.763500,0.756400,0.762000
2008-06-20,0.761600,0.764800,0.759000,0.761600
2008-06-23,0.760000,0.763900,0.755400,0.758100
2008-06-24,0.757600,0.760200,0.754800,0.758800
2008-06-25,0.758800,0.760700,0.754100,0.759700
2008-06-26,0.758900,0.760200,0.753800,0.755700
2008-06-27,0.754800,0.763700,0.752900,0.760500
2008-06-30,0.760500,0.766500,0.758600,0.761700
2008-07-01,0.761700,0.763000,0.755200,0.757900
2008-07-02,0.757800,0.761700,0.755000,0.759800
2008-07-03,0.759900,0.761700,0.754700,0.756400
2008-07-04,0.755800,0.760600,0.753700,0.759900
2008-07-07,0.758300,0.759600,0.749800,0.753400
2008-07-08,0.753200,0.754200,0.748000,0.753300
2008-07-09,0.752500,0.761800,0.751000,0.757100
2008-07-10,0.756600,0.761100,0.753500,0.758900
2008-07-11,0.758400,0.765100,0.756000,0.760500
2008-07-14,0.762000,0.765000,0.756000,0.764700
