date,open,high,low,close
2008-02-12,1.001800,1.004600,0.994000,1.001000
2008-02-13,1.002000,1.003000,0.996500,0.997300
2008-02-14,0.996900,1.001700,0.993600,1.000600
2008-02-15,1.000200,1.011400,0.992000,1.007300
2008-02-18,1.009500,1.010100,1.004900,1.007700
2008-02-19,1.007500,1.017500,1.002000,1.017200
2008-02-20,1.017500,1.020000,1.010700,1.012800
2008-02-21,1.012400,1.014400,1.006800,1.011100
2008-02-22,1.011100,1.017000,1.007200,1.012200
2008-02-25,1.012500,1.013000,0.995000,0.995300
2008-02-26,0.995900,0.998700,0.978300,0.983100
2008-02-27,0.982000,0.983200,0.976000,0.980500
2008-02-28,0.981200,0.982300,0.971000,0.975000
2008-02-29,0.975200,0.985300,0.974900,0.984500
2008-03-03,0.985500,0.993500,0.982800,0.989400
2008-03-04,0.990100,0.997900,0.985300,0.993900
2008-03-05,0.993400,0.995600,0.983500,0.985100
2008-03-06,0.984400,0.988500,0.981800,0.986300
2008-03-07,0.984900,0.992400,0.974600,0.989800
2008-03-10,0.989000,0.998500,0.985600,0.996700
2008-03-11,0.996700,0.997400,0.989300,0.991400
2008-03-12,0.991900,0.993900,0.983800,0.989800
2008-03-13,0.989600,0.992000,0.979700,0.982600
2008-03-14,0.983100,0.996800,0.981700,0.989300
2008-03-17,0.988300,1.001200,0.985900,0.997200
2008-03-18,0.998400,0.998600,0.989200,0.992500
2008-03-19,0.992900,1.017500,0.987700,1.014300
2008-03-20,1.013500,1.029500,1.010500,1.024400
2008-03-21,1.024700,1.027000,1.022400,1.023200
2008-03-24,1.025200,1.030900,1.015600,1.017500
2008-03-25,1.016900,1.022300,1.012500,1.017100
2008-03-26,1.018100,1.020800,1.009500,1.018100
2008-03-27,1.018300,1.023500,1.012600,1.018500
2008-03-28,1.017700,1.022900,1.014200,1.022600
2008-03-31,1.022700,1.029400,1.019100,1.026100
2008-04-01,1.026100,1.032600,1.020600,1.022500
2008-04-02,1.022700,1.024600,1.013000,1.014700
2008-04-03,1.014300,1.016800,1.002500,1.004400
2008-04-04,1.004700,1.010400,1.001800,1.008300
2008-04-07,1.009200,1.015500,1.004000,1.015200
2008-04-08,1.014700,1.017600,1.010700,1.013200
2008-04-09,1.013700,1.021900,1.012400,1.018900
2008-04-10,1.019000,1.022500,1.015500,1.019900
2008-04-11,1.019600,1.025000,1.013300,1.023500
2008-04-14,1.026900,1.027600,1.017700,1.018700
2008-04-15,1.018600,1.024000,1.016300,1.017700
2008-04-16,1.017500,1.018800,1.000100,1.000500
2008-04-17,1.000900,1.014400,0.998800,1.010000
2008-04-18,1.010300,1.014500,1.002500,1.004400
2008-04-21,1.005200,1.009500,0.999800,1.005700
2008-04-22,1.006100,1.015400,1.002400,1.007000
2008-04-23,1.007400,1.021600,1.006000,1.017200
2008-04-24,1.017000,1.021200,1.012000,1.014200
2008-04-25,1.014400,1.020500,1.012000,1.013800
2008-04-28,1.013100,1.018500,1.006700,1.012600
2008-04-29,1.013700,1.016700,1.010900,1.013100
2008-04-30,1.013400,1.014500,1.003700,1.007200
2008-05-01,1.006800,1.023700,1.006200,1.020900
2008-05-02,1.019500,1.024300,1.014700,1.019600
2008-05-05,1.019500,1.020000,1.012000,1.012800
2008-05-06,1.012500,1.014700,0.999800,1.002800
2008-05-07,1.002400,1.010000,1.000500,1.009700
2008-05-08,1.009600,1.017800,1.007800,1.017500
2008-05-09,1.017600,1.017600,1.004500,1.005300
2008-05-12,1.006600,1.010900,1.002400,1.005100
2008-05-13,1.005600,1.009600,0.998500,1.003800
2008-05-14,1.003700,1.007000,0.996300,1.003100
2008-05-15,1.002600,1.006300,0.999200,0.999600
2008-05-16,1.000100,1.002400,0.994500,0.999200
2008-05-19,0.999500,1.000100,0.989800,0.991600
2008-05-20,0.991700,0.995400,0.987300,0.992500
2008-05-21,0.992200,0.992800,0.981800,0.983400
2008-05-22,0.983200,0.987700,0.982700,0.984400
2008-05-23,0.985000,0.990300,0.983500,0.989700
2008-05-26,0.988800,0.993400,0.986100,0.991500
2008-05-27,0.992200,0.995100,0.986700,0.994600
2008-05-28,0.993800,0.996100,0.988900,0.989700
2008-05-29,0.989600,0.992400,0.982500,0.988400
2008-05-30,0.988900,0.998100,0.987300,0.993400
2008-06-02,0.995200,1.002900,0.992900,1.001700
2008-06-03,1.001700,1.009700,0.996800,1.009000
2008-06-04,1.009600,1.019200,1.008000,1.017200
2008-06-05,1.017300,1.022300,1.014200,1.017100
2008-06-06,1.016800,1.021700,1.016000,1.019600
2008-06-09,1.018500,1.024400,1.015100,1.023400
2008-06-10,1.023400,1.032300,1.019500,1.022000
2008-06-11,1.021900,1.024700,1.015300,1.020100
2008-06-12,1.020200,1.027800,1.019300,1.024100
2008-06-13,1.023800,1.029900,1.021600,1.029400
2008-06-16,1.028600,1.030000,1.019600,1.024600
2008-06-17,1.024700,1.024900,1.016600,1.019000
2008-06-18,1.019300,1.021500,1.016600,1.017600
2008-06-19,1.017400,1.018900,1.010900,1.016100
2008-06-20,1.015100,1.019700,1.010100,1.016700
2008-06-23,1.016500,1.019300,1.012900,1.015700
2008-06-24,1.015800,1.017400,1.011000,1.012000
2008-06-25,1.012200,1.014500,1.008700,1.009100
2008-06-26,1.009000,1.014500,1.008200,1.013500
2008-06-27,1.013400,1.014000,1.004800,1.010600
2008-06-30,1.010400,1.021800,1.006200,1.021100
2008-07-01,1.020200,1.024200,1.014300,1.022400
2008-07-02,1.022100,1.023000,1.008800,1.011800
2008-07-03,1.011300,1.022200,1.011100,1.018400
2008-07-04,1.018300,1.020600,1.014100,1.019800
2008-07-07,1.018900,1.023400,1.015100,1.016700
2008-07-08,1.017100,1.023300,1.015600,1.019000
2008-07-09,1.018500,1.020000,1.009700,1.011200
2008-07-10,1.012300,1.013800,1.007700,1.009100
2008-07-11,1.008500,1.018100,1.006900,1.009500
2008-07-14,1.007200,1.014200,1.004300,1.006500
2008-07-15,1.006800,1.007100,0.997400,1.001200
2008-07-16,1.001400,1.005000,0.999700,1.001900
2008-07-17,1.001600,1.008200,0.997700,1.005900
2008-07-18,1.004800,1.008100,1.002100,1.005700
2008-07-21,1.006500,1.007400,0.999100,0.999500
2008-07-22,0.999600,1.011600,0.999600,1.007900
2008-07-23,1.007400,1.012000,1.005600,1.011100
2008-07-24,1.011500,1.016900,1.007500,1.015800
2008-07-25,1.015100,1.020800,1.012600,1.019800
2008-07-28,1.019100,1.024600,1.017400,1.022500
2008-07-29,1.022500,1.027600,1.020600,1.024000
2008-07-30,1.024000,1.027300,1.021900,1.022900
2008-07-31,1.023200,1.026600,1.021400,1.023500
2008-08-01,1.022800,1.030000,1.022600,1.027100
2008-08-04,1.026800,1.037300,1.026300,1.037200
2008-08-05,1.036900,1.045500,1.036200,1.042600
2008-08-06,1.043200,1.049600,1.040100,1.048300
2008-08-07,1.048000,1.053500,1.044800,1.053200
2008-08-08,1.052800,1.069700,1.051400,1.066700
2008-08-11,1.067500,1.071600,1.061000,1.069100
2008-08-12,1.069300,1.072900,1.061300,1.064600
2008-08-13,1.065300,1.071700,1.061400,1.062600
2008-08-14,1.062500,1.065600,1.056200,1.065000
2008-08-15,1.065200,1.069600,1.058100,1.059200
2008-08-18,1.059300,1.064800,1.054300,1.064500
2008-08-19,1.064500,1.067100,1.059500,1.060700
2008-08-20,1.060900,1.065500,1.057600,1.060500
2008-08-21,1.060300,1.060800,1.042200,1.043400
2008-08-22,1.044400,1.049000,1.042100,1.047200
2008-08-25,1.048300,1.052100,1.044100,1.051400
2008-08-26,1.050600,1.056300,1.041100,1.048200
2008-08-27,1.048500,1.049800,1.042700,1.047100
2008-08-28,1.047300,1.053900,1.043100,1.050900
2008-08-29,1.051500,1.064700,1.047100,1.063800
2008-09-01,1.061500,1.069600,1.061400,1.066900
2008-09-02,1.067300,1.074900,1.065900,1.067300
2008-09-03,1.067100,1.077800,1.057700,1.061400
2008-09-04,1.061300,1.071600,1.054500,1.071500
2008-09-05,1.071500,1.072800,1.060200,1.062300
2008-09-08,1.057100,1.071500,1.055000,1.065800
2008-09-09,1.066000,1.071900,1.060300,1.071600
2008-09-10,1.071500,1.074500,1.065600,1.073300
2008-09-11,1.074000,1.082300,1.070000,1.073200
2008-09-12,1.074100,1.076500,1.058700,1.060100
2008-09-15,1.063100,1.075300,1.057000,1.068900
2008-09-16,1.069500,1.075100,1.066100,1.071100
