date,open,high,low,close
2008-01-22,1.108300,1.112200,1.095200,1.095500
2008-01-23,1.094900,1.099100,1.086900,1.090700
2008-01-24,1.091200,1.093800,1.084500,1.086600
2008-01-25,1.087400,1.099100,1.086100,1.097000
2008-01-28,1.095900,1.096700,1.087100,1.089300
2008-01-29,1.089000,1.096300,1.088400,1.093900
2008-01-30,1.093700,1.095000,1.082100,1.083300
2008-01-31,1.083300,1.086100,1.075700,1.080600
2008-02-01,1.081800,1.089700,1.073100,1.089400
2008-02-04,1.088700,1.092600,1.086200,1.088400
2008-02-05,1.087800,1.105800,1.087400,1.099800
2008-02-06,1.099400,1.100500,1.094900,1.098100
2008-02-07,1.098500,1.110500,1.093200,1.103700
2008-02-08,1.104000,1.108300,1.100700,1.102200
2008-02-11,1.102300,1.104800,1.094500,1.102100
2008-02-12,1.102200,1.104600,1.097900,1.101800
2008-02-13,1.102000,1.110700,1.100800,1.108600
2008-02-14,1.108400,1.109800,1.096300,1.097800
2008-02-15,1.097700,1.098800,1.088400,1.093000
2008-02-18,1.093500,1.104800,1.093000,1.102300
2008-02-19,1.101400,1.102600,1.090800,1.094300
2008-02-20,1.094100,1.102700,1.093400,1.099800
2008-02-21,1.099900,1.103400,1.086500,1.089700
2008-02-22,1.090100,1.091900,1.083200,1.085000
2008-02-25,1.085000,1.093100,1.085000,1.089600
2008-02-26,1.088700,1.091800,1.074900,1.075300
2008-02-27,1.075000,1.076400,1.061000,1.062700
2008-02-28,1.062600,1.064400,1.048300,1.049700
2008-02-29,1.050500,1.052900,1.040800,1.041200
2008-03-03,1.039800,1.045700,1.030500,1.042000
2008-03-04,1.042300,1.043300,1.033400,1.038100
2008-03-05,1.037600,1.043000,1.033300,1.036400
2008-03-06,1.036600,1.038300,1.021300,1.023400
2008-03-07,1.022400,1.028700,1.013300,1.025700
2008-03-10,1.022700,1.025800,1.017000,1.019900
2008-03-11,1.019400,1.035000,1.014600,1.033500
2008-03-12,1.033300,1.035300,1.012900,1.014300
2008-03-13,1.013500,1.016800,1.004400,1.009300
2008-03-14,1.008900,1.014500,0.997300,0.998500
2008-03-17,0.989600,0.994900,0.967400,0.984500
2008-03-18,0.984200,1.003800,0.978400,1.002400
2008-03-19,1.003400,1.005500,0.986700,0.996900
2008-03-20,0.996100,1.016800,0.995300,1.008200
2008-03-21,1.007300,1.010700,1.004800,1.009500
2008-03-24,1.009800,1.025200,1.009300,1.019600
2008-03-25,1.018500,1.022500,1.003700,1.006400
2008-03-26,1.005800,1.011400,0.987900,0.989000
2008-03-27,0.988800,0.999000,0.988300,0.993700
2008-03-28,0.993400,0.999900,0.991100,0.995100
2008-03-31,0.992700,0.999400,0.986800,0.993600
2008-04-01,0.994600,1.014200,0.992800,1.012700
2008-04-02,1.011700,1.016700,1.006700,1.008300
2008-04-03,1.008400,1.021900,1.006900,1.010100
2008-04-04,1.009800,1.013100,1.001200,1.006200
2008-04-07,1.005800,1.017500,1.005400,1.013100
2008-04-08,1.012300,1.015900,1.006400,1.014800
2008-04-09,1.014500,1.017000,0.997200,1.001300
2008-04-10,1.001200,1.008700,0.988600,1.007400
2008-04-11,1.007100,1.009200,0.996400,1.001000
2008-04-14,1.006900,1.007800,0.992300,0.998800
2008-04-15,0.998500,1.008800,0.995500,1.000200
2008-04-16,1.006400,1.011000,0.993600,0.999900
2008-04-17,1.000100,1.009500,0.995700,1.007100
2008-04-18,1.006500,1.028600,1.003600,1.018300
2008-04-21,1.017200,1.020700,1.006200,1.008800
2008-04-22,1.008600,1.013300,0.999600,1.002900
2008-04-23,1.002300,1.017300,1.002000,1.015500
2008-04-24,1.015200,1.038500,1.014400,1.035700
2008-04-25,1.035700,1.043200,1.029900,1.033800
2008-04-28,1.034600,1.037000,1.029900,1.033300
2008-04-29,1.033800,1.040000,1.031400,1.037900
2008-04-30,1.037500,1.044400,1.032700,1.035400
2008-05-01,1.035100,1.051100,1.033300,1.047800
2008-05-02,1.047600,1.060800,1.046100,1.057700
2008-05-05,1.055500,1.059800,1.050700,1.053000
2008-05-06,1.053300,1.055100,1.042600,1.052100
2008-05-07,1.051700,1.059400,1.050800,1.055000
2008-05-08,1.054300,1.062400,1.047900,1.050900
2008-05-09,1.050600,1.051700,1.038700,1.041000
2008-05-12,1.041800,1.051300,1.040400,1.043700
2008-05-13,1.044300,1.055800,1.041600,1.054000
2008-05-14,1.053200,1.060200,1.051000,1.054500
2008-05-15,1.054100,1.059500,1.048200,1.057000
2008-05-16,1.056500,1.059000,1.043000,1.047600
2008-05-19,1.045600,1.057400,1.041100,1.053000
2008-05-20,1.052800,1.053600,1.035500,1.037200
2008-05-21,1.037300,1.039200,1.024600,1.025200
2008-05-22,1.024200,1.035500,1.023200,1.030900
2008-05-23,1.030700,1.033700,1.021300,1.023900
2008-05-26,1.024000,1.027800,1.023000,1.024400
2008-05-27,1.024000,1.034800,1.022000,1.034700
2008-05-28,1.034400,1.042500,1.025600,1.037300
2008-05-29,1.037200,1.052600,1.036200,1.049000
2008-05-30,1.049200,1.053000,1.041100,1.042300
2008-06-02,1.041800,1.044900,1.032300,1.037100
2008-06-03,1.037100,1.049100,1.027400,1.042000
2008-06-04,1.043500,1.044600,1.036000,1.042100
2008-06-05,1.042300,1.052400,1.035000,1.038700
2008-06-06,1.038600,1.041100,1.018200,1.018500
2008-06-09,1.016700,1.029900,1.014400,1.027600
2008-06-10,1.027700,1.044000,1.026600,1.041900
2008-06-11,1.042300,1.044900,1.030600,1.031300
2008-06-12,1.030800,1.049100,1.030000,1.040400
2008-06-13,1.040400,1.054200,1.038400,1.047200
2008-06-16,1.044500,1.052200,1.037700,1.045900
2008-06-17,1.045300,1.045900,1.037400,1.042500
2008-06-18,1.041800,1.046900,1.035400,1.036900
2008-06-19,1.036500,1.047600,1.031700,1.045000
2008-06-20,1.044800,1.045300,1.030200,1.035500
2008-06-23,1.033900,1.049600,1.033800,1.044900
2008-06-24,1.045000,1.047100,1.034700,1.041500
2008-06-25,1.041300,1.044600,1.033900,1.034900
2008-06-26,1.034800,1.039400,1.021800,1.024000
2008-06-27,1.023800,1.027100,1.016300,1.018300
2008-06-30,1.019300,1.021900,1.012800,1.020900
2008-07-01,1.020700,1.023100,1.013500,1.020000
2008-07-02,1.019900,1.023300,1.012900,1.014200
2008-07-03,1.013700,1.028500,1.010700,1.026800
2008-07-04,1.026400,1.028000,1.022900,1.025600
