datetime,open,high,low,close,n_h1,trading_day
2020-01-30 17:00:00,1.306700,1.310750,1.306700,1.308100,3,2020-01-31
2020-01-30 21:00:00,1.308050,1.311050,1.308000,1.308450,4,2020-01-31
2020-01-31 01:00:00,1.308300,1.309500,1.308000,1.309050,4,2020-01-31
2020-01-31 05:00:00,1.309000,1.310550,1.308450,1.309650,4,2020-01-31
2020-01-31 09:00:00,1.309650,1.310350,1.309350,1.310150,4,2020-01-31
2020-01-31 13:00:00,1.310000,1.314100,1.309800,1.310250,4,2020-01-31
2020-02-03 01:00:00,1.318350,1.318750,1.317100,1.317900,3,2020-02-03
2020-02-03 05:00:00,1.318200,1.318400,1.317050,1.317450,4,2020-02-03
2020-02-03 09:00:00,1.317350,1.317450,1.315300,1.315400,4,2020-02-03
2020-02-03 13:00:00,1.315500,1.315700,1.305700,1.305950,4,2020-02-03
2020-02-03 17:00:00,1.306000,1.307150,1.302250,1.302800,4,2020-02-04
2020-02-03 21:00:00,1.302450,1.302900,1.298300,1.299550,4,2020-02-04
2020-02-04 01:00:00,1.299400,1.300150,1.298700,1.299800,4,2020-02-04
2020-02-04 05:00:00,1.299600,1.299900,1.298150,1.299250,4,2020-02-04
2020-02-04 09:00:00,1.299400,1.302300,1.299200,1.299550,4,2020-02-04
2020-02-04 13:00:00,1.299550,1.302500,1.294150,1.300700,4,2020-02-04
2020-02-04 17:00:00,1.300600,1.304600,1.300400,1.302300,4,2020-02-05
2020-02-04 21:00:00,1.302200,1.304450,1.301850,1.303850,4,2020-02-05
2020-02-05 01:00:00,1.304150,1.304200,1.302650,1.302850,4,2020-02-05
2020-02-05 05:00:00,1.303100,1.303450,1.301200,1.301650,4,2020-02-05
2020-02-05 09:00:00,1.301800,1.302400,1.301500,1.301700,4,2020-02-05
2020-02-05 13:00:00,1.301700,1.307050,1.300900,1.305350,4,2020-02-05
2020-02-05 17:00:00,1.305100,1.306950,1.295700,1.296600,4,2020-02-06
2020-02-05 21:00:00,1.296400,1.301050,1.295850,1.300300,4,2020-02-06
2020-02-06 01:00:00,1.300300,1.300350,1.298600,1.299950,4,2020-02-06
2020-02-06 05:00:00,1.299900,1.300150,1.298250,1.298500,4,2020-02-06
2020-02-06 09:00:00,1.298500,1.299100,1.297200,1.298400,4,2020-02-06
2020-02-06 13:00:00,1.298350,1.299850,1.296150,1.296350,4,2020-02-06
2020-02-06 17:00:00,1.296350,1.297950,1.295000,1.295600,4,2020-02-07
2020-02-06 21:00:00,1.295350,1.295800,1.292250,1.292600,4,2020-02-07
2020-02-07 01:00:00,1.292750,1.293300,1.292100,1.292850,4,2020-02-07
2020-02-07 05:00:00,1.292750,1.294350,1.292700,1.294150,4,2020-02-07
2020-02-07 09:00:00,1.294200,1.294650,1.293500,1.294200,4,2020-02-07
2020-02-07 13:00:00,1.294300,1.294550,1.292200,1.292900,4,2020-02-07
2020-02-10 01:00:00,1.288550,1.289700,1.288400,1.289150,3,2020-02-10
2020-02-10 05:00:00,1.288800,1.290100,1.288500,1.290050,4,2020-02-10
2020-02-10 09:00:00,1.290050,1.290900,1.289200,1.290200,4,2020-02-10
2020-02-10 13:00:00,1.290150,1.293150,1.287300,1.292400,4,2020-02-10
2020-02-10 17:00:00,1.292300,1.294650,1.291500,1.294050,4,2020-02-11
2020-02-10 21:00:00,1.294100,1.294400,1.290700,1.291700,4,2020-02-11
2020-02-11 01:00:00,1.291700,1.292100,1.290800,1.291400,4,2020-02-11
2020-02-11 05:00:00,1.291400,1.292250,1.291050,1.291750,4,2020-02-11
2020-02-11 09:00:00,1.291750,1.292050,1.291100,1.291550,4,2020-02-11
2020-02-11 13:00:00,1.291700,1.294200,1.289500,1.292800,4,2020-02-11
2020-02-11 17:00:00,1.292800,1.296800,1.291600,1.296600,4,2020-02-12
2020-02-11 21:00:00,1.296500,1.296700,1.293300,1.295750,4,2020-02-12
2020-02-12 01:00:00,1.295700,1.296750,1.294950,1.295600,4,2020-02-12
2020-02-12 05:00:00,1.295600,1.296800,1.295250,1.296700,4,2020-02-12
2020-02-12 09:00:00,1.296700,1.296950,1.295250,1.295550,4,2020-02-12
2020-02-12 13:00:00,1.295500,1.298900,1.295200,1.298100,4,2020-02-12
2020-02-12 17:00:00,1.297900,1.299150,1.295400,1.296200,4,2020-02-13
2020-02-12 21:00:00,1.296100,1.298000,1.295650,1.296350,4,2020-02-13
2020-02-13 01:00:00,1.296400,1.296750,1.295400,1.295900,4,2020-02-13
2020-02-13 05:00:00,1.295600,1.296500,1.295100,1.295850,4,2020-02-13
2020-02-13 09:00:00,1.295950,1.296000,1.294450,1.295150,4,2020-02-13
2020-02-13 13:00:00,1.295100,1.298900,1.295000,1.298900,4,2020-02-13
2020-02-13 17:00:00,1.298800,1.304800,1.296250,1.304350,4,2020-02-14
2020-02-13 21:00:00,1.304300,1.306950,1.304200,1.305250,4,2020-02-14
2020-02-14 01:00:00,1.305300,1.305600,1.303750,1.304200,4,2020-02-14
2020-02-14 05:00:00,1.304200,1.305000,1.304000,1.304800,4,2020-02-14
