datetime,open,high,low,close,n_h1,trading_day
2020-01-30 04:00:00,0.653100,0.653750,0.652600,0.652650,2,2020-01-30
2020-01-30 08:00:00,0.652700,0.653100,0.652050,0.652050,4,2020-01-30
2020-01-30 12:00:00,0.652050,0.652450,0.650500,0.651050,4,2020-01-30
2020-01-30 16:00:00,0.651000,0.651250,0.650000,0.650550,4,2020-01-30
2020-01-30 20:00:00,0.650600,0.650900,0.649700,0.649800,4,2020-01-31
2020-01-31 00:00:00,0.649850,0.650500,0.648500,0.648900,4,2020-01-31
2020-01-31 04:00:00,0.648950,0.649600,0.648050,0.649300,4,2020-01-31
2020-01-31 08:00:00,0.649250,0.649450,0.648300,0.649050,4,2020-01-31
2020-01-31 12:00:00,0.648900,0.649550,0.647800,0.648600,4,2020-01-31
2020-01-31 16:00:00,0.648650,0.648800,0.646300,0.646400,4,2020-01-31
2020-01-31 20:00:00,0.646400,0.646550,0.645400,0.646050,2,2020-01-31
2020-02-03 04:00:00,0.647350,0.647500,0.646350,0.647300,1,2020-02-03
2020-02-03 08:00:00,0.647050,0.647800,0.645550,0.646550,4,2020-02-03
2020-02-03 12:00:00,0.646450,0.647050,0.645350,0.646950,4,2020-02-03
2020-02-03 16:00:00,0.646900,0.647550,0.645850,0.645950,4,2020-02-03
2020-02-03 20:00:00,0.645900,0.647450,0.645450,0.647200,4,2020-02-04
2020-02-04 00:00:00,0.647150,0.647650,0.645450,0.646200,4,2020-02-04
2020-02-04 04:00:00,0.646150,0.646750,0.645750,0.646250,4,2020-02-04
2020-02-04 08:00:00,0.646200,0.646500,0.645000,0.645200,4,2020-02-04
2020-02-04 12:00:00,0.645300,0.647100,0.645000,0.646700,4,2020-02-04
2020-02-04 16:00:00,0.646700,0.647650,0.646100,0.646600,4,2020-02-04
2020-02-04 20:00:00,0.646600,0.646750,0.645400,0.646400,4,2020-02-05
2020-02-05 00:00:00,0.646300,0.647950,0.645650,0.647950,4,2020-02-05
2020-02-05 04:00:00,0.647900,0.649000,0.647900,0.648700,4,2020-02-05
2020-02-05 08:00:00,0.648700,0.650100,0.648600,0.648800,4,2020-02-05
2020-02-05 12:00:00,0.648800,0.649100,0.647800,0.648400,4,2020-02-05
